,Topic,Count,Name,Representation,Representative_Docs
0,-1,5573,-1_温度_时候_感觉_空调,"['温度', '时候', '感觉', '空调', '一天', '工作', '知道', '然后', '夏天', '这样']","['怎么凉森森 ，坐   得披   外套，原来 下雨 ，温度降 ， 早上 闷热全 没有 ，楼道  温度逗比昨天低 几度，挺好 ， 喜欢', '有什么绿植适合 绿色 大众喜爱 一种流行色，  缓解疲劳 颜色， 一堆文件中用绿色点缀 ，会让人有眼前一亮 感觉 一些空旷  可以放大型植物，发财树高达一两米，养 没有阳光 地方，温度  ~ 度左右，  浇水一次 金钱树非常耐旱，能够适应室内比较干燥 环境，但生长非', '感觉 生活 北极  每天  冷 发抖，宿舍 呵气成霜  咱   空调 温度  能 能适宜 好']"
1,0,1913,0_空调_开空调_空调温度_空调开,"['空调', '开空调', '空调温度', '空调开', '温度', '这个温度', '同事', '热死', '室外温度', '空调坏']","['空调坏 ，温度 飙  ， 好热', '这个温度，   能开 度 空调', '室外温度   开 度 空调🙊']"
2,1,657,1_老师_学生_教室_学校,"['老师', '学生', '教室', '学校', '上课', '时候', '知道', '他们', '宿舍', '事情']","['昨天 ℃，热得童姐回来直接开空调＋抱瓶冰啃，直呼 冒烟 ， 班级 空调＋风扇一起吹， 吹 散全班散发出来 热气  倒 凉快，两台空调对 吹，所以下课钻满 学生，挤占 老师  区 昨天半夜大雨，到今早仍淅淅沥沥，本想开车送她，走到 门口，又默默拿出 雨衣 半道看到', '之小尤小范二三事  课间小尤“老师，以后 班试卷 来发，  可以帮 改” “   班 ”小尤“ 知道，老师， 悄悄告诉 ， 班有 稀饭 男生” 挑眉“那 再悄悄告诉  谁呗”小尤假急“走 ，老师”走到 门口看 还没出声留她折回来“老师， 看， 这个”指', '可爱 学生反复读 一句话五遍还 能 读下来  可爱 学生真 上一遍读出来 单词下一遍 能忘记 why  可爱 学生 怎么  第六遍 时候 可爱 学生  老师  头疼  温柔地摸摸他 额头 哦 可爱 学生  额头 温度让  心拔凉 真 一点  烫耶 于  温柔地让 可爱 学生坐下再读 哈']"
3,2,531,2_温度_羽绒服_短袖_穿短袖,"['温度', '羽绒服', '短袖', '穿短袖', '瑟瑟发抖', '这个温度', '外套', '穿搭', '秋裤', 'ootd']","['早上迷迷糊糊打开手机天气 发现 最高温度只有 度，大为震惊 昨天还 穿短袖，怎么 天气骤降 看到窗外 大太阳完全没起疑心，翻箱倒柜找 件厚外套，还穿 毛衣马甲 结果一出门看到大家 穿 短袖，体感确实没那么冷，更疑惑  到  问同事怎么 穿短袖， 最高温度只有 度，同事', '借由  投稿， 来 一下新人职场内穿搭 一些规矩 刚进入职场，最好 保护色，永远 会错   衬衫+西裤这个组合 现 职场穿搭其实比较宽容  所以西裤 可以选择稍微宽松且  太长  鞋子选择棕色或黑色平底皮鞋 好 装饰  多，  带钻 这个穿搭 最保守，  最好用 ，衬', '. x .rR / BtE / 杨幂 向 们介绍 她 看展穿搭 有温度 外套+同色系碎花裙 以高定礼服设计为喻，对于未来人生 “剪裁”，杨幂觉得舒服 好；衣服 管 廓形还 线条，喜欢 好 如果给自己设计一款 香氛，她希望 和“沉香']"
4,3,529,3_温度_这温度_太热_好热,"['温度', '这温度', '太热', '好热', '温度太高', '室内温度', '这个温度', '室外温度', '最高温度', '实时温度']","['室外温度 ℃  温度 ℃', '现  温度 . ° 而', '室外温度 度， 温度 . 度']"
5,4,449,4_北京_上海_深圳_广州,"['北京', '上海', '深圳', '广州', '杭州', '温度', '武汉', '苏州', '重庆', '感觉']","['疯 吧，这温度  空调嘎嘎开 上海', '来 深圳 好像那大暴露狂，恨 得一件衣服  穿 热🥵  北京， 同学敢把温度调到    骂  深圳， 度  救赎🙏', '最近 幸福感来源 上海 秋天 温度刚好 满地落叶骑车上下班 还有公司楼下 到处 能闻到桂花味 🍂 上海']"
6,5,438,5_好冷_冬天_温度_冻死,"['好冷', '冬天', '温度', '冻死', '太冷', '南方', '感觉', '冰窖', '北方', '冷死']","['好冷，明明 温度蛮高 ，但    好冷，手一直 冰 ，腿 冰', '值班 一天，感觉 冻死  ，  低估 这个温度', '低估   温度，坐  好冷']"
7,6,198,6_好适合睡觉_太适合睡觉_昏昏欲睡_好困,"['好适合睡觉', '太适合睡觉', '昏昏欲睡', '好困', '温度太适合睡觉', '只想睡觉', '为什么', '睡觉', '昏暗', '睡眠']","['为什么 沙发上很容易睡 ， 床上却很难？ - . ——孙卿摘编——有时候， 辛苦 一天，晚上躺 床上却怎么 睡  ，但坐 沙发上看电视或者刷手机，很快犯困 为什么 沙发上很容易睡 ， 床上却很难？   睡眠可能被“吓跑” 沙发容易让人入睡 理由有很多 昏暗 光线 适宜 温度', '医生 会告诉   个养生好习惯  . 晚上睡觉时，可以 小腿下面垫个枕头，这样血液回流得更好，腿  容易肿，第二天起床腿脚轻便  . 早上起床后，先别急 起身，可以先 床上伸伸懒腰 活动下手脚，能唤醒身体，一整天 精神  . 吃饭 时候细嚼慢咽，每一口食物多咀嚼几次 这样 仅有助于', '医生 会告诉   个养生好习惯  . 晚上睡觉时，可以 小腿下面垫个枕头，这样血液回流得更好，腿  容易肿，第二天起床腿脚轻便  . 早上起床后，先别急 起身，可以先 床上伸伸懒腰 活动下手脚，能唤醒身体，一整天 精神  . 吃饭 时候细嚼慢咽，每一口食物多咀嚼几次 这样 仅有助']"
8,7,194,7_齐司礼_原炀_李泽言_路上走,"['齐司礼', '原炀', '李泽言', '路上走', '顾青裴', '针锋对决', '总裁', '会想他', '简隋英', '落地窗前']","['影响人生 七个思维哲理故事  瞎子打灯笼 盲人到亲戚家做客，天黑后，他 亲戚好心为他点 个灯笼，  “天晚 ，路黑， 打个灯笼回家吧 ”盲人火冒三丈地  “ 明明知道  瞎子，还给 打个灯笼照路，  嘲笑 吗?”他 亲戚  “ 犯 局限思考 错误    路上走，许多人  路上', '七个思维哲理故事分    瞎子打灯笼 盲人到亲戚家做客，天黑后，他 亲戚好心为他点 个灯笼，  “天晚 ，路黑， 打个灯笼回家吧 ”盲人火冒三丈地  “ 明明知道  瞎子，还给 打个灯笼照路，  嘲笑 吗?”他 亲戚  “ 犯 局限思考 错误    路上走，许多人  路上走，', '几个思维哲理故事   瞎子打灯笼 盲人到亲戚家做客，天黑后，他 亲戚好心为他点 个灯笼，  “天晚 ，路黑， 打个灯笼回家吧 ”盲人火冒三丈地  “ 明明知道  瞎子，还给 打个灯笼照路，  嘲笑 吗?”他 亲戚  “ 犯 局限思考 错误    路上走，许多人  路上走， 打']"
9,8,171,8_发烧_舒服_头痛_晚上,"['发烧', '舒服', '头痛', '晚上', '咳嗽', '下午', '症状', '温度计', '生病', '二阳']","['昨天早上一起来 喉咙疼，下午 发烧 ，电脑包 有疫情时候用 温度计， 人呆  默默量体温惨惨子 晚上烧到 ℃，默默烧开水人工降温，一晚上没有开空调，出 一晚上汗，早上 退烧 ，然后 开始流鼻涕 ，最讨厌 感冒环节 还好 一直 没去工地，解决 几件需 和别人交流 事', '温度让 头痛起来  好 舒服  知道   又 发烧', '下午   感觉很冷，开 空调 冷，可 明明天气 很好 应该冷，过会 头疼， 寻思被烟味熏 吧可能，下 班回家量 下体温，发烧 ， 又质疑   温度计 准 ，然后妈妈给 换 两个温度计量 四次，  发烧 ，最终 还 屈服 ，吃上 药']"
