,Unnamed: 0,Name,Date,Content
0,6,乐蜂网-小蜜蜂,2013年01月15日 20:00  来自 专业版微博,宝贝呀~俺家静老师    用喷 方式给每个  喷上哦~家   可以 喷 呢~嘿嘿~宝贝快点DIY一下吧~
2,15,泉水农夫,2013年01月15日 15:42  来自 360安全浏览器,到外边去溜达 一圈，空气质量真 怎么样，灰蒙蒙 一片，可 回到 发现自己 鼻子有点 舒服 ，罢 吧 ， 试 用卫生纸去擦拭，结果纸上一层黑色脏东西，可恶心 ， 明空气真 有点 怎么好，大家没什么大事 还 尽量  出去吧，  ，；‘祝大家幸福快乐，健康长寿，
3,21,苏醒AllenSu,55分钟前  来自 iPhone 16 Pro,又来 🎫 感觉得换点新歌 🎙️🎵
4,22,YouTube易烊千玺频道,58分钟前  来自 易烊千玺超话,易烊千玺垒石十五分钟纯   LYouTube易烊千玺频道  视频
5,24,TFBOYS-易烊千玺,今天20:01  来自 微博直播平台,TFBOYS-易烊千玺  直播
6,25,张星特闭麦吗,今天20:16  来自 微博视频号,这支纪录片发布后属于 . .  记忆 会被永远封存  们 记忆 感谢 们愿意陪 一起参与这场浪漫逃离“爱能抵万难 您已逃离尼莫点” L张星特闭麦吗  视频
7,31,智天下顾问项目管理部,2013年02月28日 18:52  来自 皮皮时光机,内外温差大，室内空气质量差，容易诱发咽喉炎 白领们大部分 装有中央空调 写字楼内  由于中央空调控温较难——夏天室内温度过低，冬天又过高，室内外温差很大，再加上中央空调清洗困难，影响 室内 空气质量，这些 极易诱发白领们诸如咽喉炎之类 口咽疾病
8,32,央嘉措,2013年02月28日 17:57  来自 记事狗微博系统,关爱员工健康，特别推出“呼吸福利”， 台空气净化器已运抵  谢谢 O 链接
12,38,石兴凯,2013年03月15日 20:09  来自 小鸟定时,上火 中医术语，意为人体阴阳失衡，内火旺盛 所谓 “火” 形容身体内某些热性 症状 小宝  最近感觉有点嗓子发紧 别总 盯 屏幕看 ，  空气这么干燥 快起来活动一下，顺便来罐加多宝败火吧
13,39,国际能源网,2013年03月15日 18:23  来自 专业版微博,美国总统奥巴马任命麻省理工学院能源科技创新实验室主任莫尼斯为能源部部长，美国环保署空气与辐射 副主任麦卡锡为环保署署长 O 链接
14,41,李锰,2013年03月15日 15:54  来自 Weico.iPhone,空气净化器家 计划半天还没出手， 先装  教室 装 豪华型， 据  简易型，有 成 ，观察一下效果咋样先 老外讲话 这下可以呼吸到澳大利亚 空气
15,42,奥驰展览,2013年03月15日 14:32  来自 专业版微博,又 一 春三 ，广州进入梅雨季节 潮湿，空气 流通，久居 容易细菌滋生，影响同事健康 如果每天下班后全公司 分钟紫外线照射消毒，杀菌，并且坚持 懈，那么 们  环境会多一些健康，多一些阳光，多一些安全     奥驰展览沐浴阳光
16,44,金盛国际家居六合广场,2013年03月15日 13:04  来自 微博桌面,若干化学品 引起眼睛过敏 致敏原──除 工业用 化学品，一些由家居清洁剂（如漂白水及洗洁精）所散发出来 气味， 可能导致敏感 眼睛泛红及搔痒 适 可能 话， 家中或 使用此类化学品时，一定 保持室内 空气流通
17,45,昆仑山矿泉水,2013年03月15日 12:30  来自 皮皮时光机,人 一生除  家， 数 工作场所时间最长，现代化 工作场合隐患超多，如空气湿度 光照 辐射等问题愈演愈烈， 污染成 上班一族 可忽视 慢性健康杀手 用富含丰富均衡矿泉元素 雪山矿泉水为自己补水吧，可以很好 改善人体状态，提高免疫机能
18,46,纳味卡,2013年03月15日 12:11  来自 专业版微博,猜猜，整个公司，谁所  地方空气质量 最 好 ？ 么？  ，臭味啥 ，一会 过去 ，再 危害  最大  ，这个有点接近，但 一定； 过确定 一点 ，TA接触 油墨味 文具 最多 ， 注意 答案  离打印机最近 那个；因为TA摄入 臭氧最多
20,61,金水老大,2013年03月30日 12:12  来自 360安全浏览器,市场部 兄弟们 新 晃悠一圈，大声赞叹 “环境 错 ” “空气实 太好  ” “深呼吸 ” 完每人掏一根烟出来，瞬间烟雾缭绕
21,62,陈光教授,2013年03月30日 10:07  来自 微博手机版,中央财经领导小组 杨伟民谈用生态文明理念到城镇化工作中 空气 风景等＂生态产品＂ 生产越来越为人们所需，生产＂生态产品＂ ＂土地＂ 森林 湿地 海洋等
23,67,陈书艺,2013年03月29日 19:49  来自 360安全浏览器,感觉俺们公司今 最缺 两样东西，    好空气，另  三餐准时自助餐，今 能实现么？
24,68,壹海城ONECITY,2013年03月29日 18:45  来自 专业版微博,晒出 照片活动已经结束  恭喜 获得商务 空气净化器 ， 获得自强 “吸”保卫战纪念T恤一套（ 件）， 获得盆栽 ，请私信告知姓名 电话 领取时间地点待私信通知
25,76,升发英才网,2013年03月29日 14:38  来自 皮皮时光机,长时间吹空调 长时间呆 密闭 开 空调   ，空气 流通，难得吸到一丝新鲜 空气，这样很容易患上 “空调病”
26,85,一只王大力Li,2013年04月15日 20:42  来自 三星android智能手机,开风扇 ，回校还 开暖气 真  想走， 会想 们
27,86,恋酱,2013年04月15日 18:41  来自 iPhone客户端,下班出来放放风 呼吸点    空气    这   北京·朝阳大悦城
28,90,苏勋伦,今天20:00  来自 微博视频号,📹🫡 L苏勋伦  视频
29,94,云朵工厂,2013年04月30日 16:28  来自 专业版微博,但产品会升级，  绿植 升级 呢，[彩虹]这位童鞋， 那边 空气好嘛~？
30,96,奥地利驻华使馆,2013年04月30日 12:00  来自 专业版微博,维 纳 ENERGYbase 向 们展示 未来  楼应有 样子 这个建成于   新型节能建筑拥有 平米 可用空间， 被动房标准下它比传统建筑节能约 % 该建筑配备 光伏外墙 热能反应系统 地下水热泵 太阳能制冷及植物空气调节系统等 精妙 设计还能保证每个  有充足 光照
31,97,锦城环协,2013年04月30日 10:50  来自 专业版微博,兰花 桂花 腊梅 花叶芋 红北桂 其纤毛能吸收空气中 飘浮微粒及烟尘 丁香 茉莉 玫瑰 紫罗兰 田菊 薄荷 这些植物可使人放松 有利于睡眠
32,98,SAN森木,2013年04月30日 09:30  来自 诺基亚N8,空气[囧]真他妈恶劣
33,99,封宽高,2013年04月30日 09:05  来自 美图秀秀Android版,五一小长假  们骑 自己 爱车 出去走走 离开吵闹 城市，出来呼吸一下新鲜空气 离开压力  ，出来释放一下心情 这样 活动 们来给 创造 骓驰(南京)车影单车馆 为 打造愉快 旅途
35,103,五只蜗牛文创,2013年04月29日 14:03  来自 皮皮时光机,开窗通风，这 净化空气最好 方式  应保证每天开窗换气 少于两次，每次 少于 分钟 打印机 复印机 传真机等设备最好放 走道 独立房间或者其他一些通风好 地方，别放  桌上
36,110,大牛FM,2013年05月15日 21:28  来自 微博 weibo.com,爱 十点 直播贴  们现    听到 最多 一句话 什么呢？“ 好烦  ”  ，经常有人会 这样 话，一方面精神过度 紧张，工作生活压力大，另一方面  空气，环境各方面   很理想，再有  季节性天气干燥，种种原因 会造成人 心烦意乱，那么心情 好 时候怎么办呢？
37,113,磐安公安陈栋,2013年05月15日 17:19  来自 微博桌面,忙 一天，终于可以靠 椅子上好好休息一下 遥看窗外，细雨丝丝 浸润 土地，带有泥土清新 空气回荡  内，整个人 精神出奇 振奋 继续做事，算 ，还 休息十分钟吧， 下班 哦，回家看女儿，一定非常想爸爸
