,Topic,Count,Name,Representation,Representative_Docs
0,-1,4590,-1_空气_时候_感觉_味道,"['空气', '时候', '感觉', '味道', '一天', '流通', '同事', '工作', '知道', '自己']","['带  师傅出差去 ，感觉   空气  轻松 ，阳光  明媚', '韩国效果最好 迷 空气净化器，它  韩国DR.USB IHC-DR H 迷 空气净化器，适合小型空间，可以车载   卧室 可以抗菌 去除微尘 去除异味 抗病毒提升免疫力，对抗雾霾有显著效果，USB接口供电，无需充电，无需更换过滤网，没有其他费用产生，  真正 便携式氧吧 北京等多个北方城市', '\ue627河南城建学院 \ue627河南城建学院 \ue627河南城建学院  亲爱 同学们，大家  冲动，作为皇家城建 学生， 们 动之以情 晓之以理，大家想想，宿舍没有空调，尤其学校大部分 南方 同学，没有经历过这么冷 温度，如果感冒 会 会大规模传染，会 会与新冠疫情联想到一起发生骚乱，第二']"
1,0,419,0_净化空气_植物_作用_绿植,"['净化空气', '植物', '作用', '绿植', '链接', '发财树', '家中或', '空气凤梨', '清新空气', '美观养眼']","['超火 多肉组合，水培好养易成活，净化空气，美化 居室环境，适宜摆 客厅 卧房   ，既有视觉美感 寄意吉祥', '颗多肉+ 个玻璃花盆+营养液组合盆栽， . 入，超火组合，水培好养易成活，净化空气，美化 居室环境，适宜摆 客厅 卧房   ，既有视觉美感 寄意吉祥', '颗多肉+ 个玻璃花盆+营养液组合盆栽， . 入，超火 多肉组合，水培好养易成活，净化空气，美化 居室环境，适宜摆 客厅 卧房   ，既有视觉美感 寄意吉祥']"
2,1,317,1_空气炸锅_红薯_好吃_烤红薯,"['空气炸锅', '红薯', '好吃', '烤红薯', '微波炉', '分钟', '烤箱', '冰箱', '带到', '香味']","['昨天吃 这个芝士蜜薯开啦 空气炸锅 烤箱 可以  觉得火大点好吃，烤焦一点  喜欢芝士跟红薯分离 吃法，  上面一层 芝士，下面 红薯 如果喜欢吃芝士跟红薯交融 ，可以烤之前搅拌一下  . 元 盒， 们 昨天一下午全部吃完  这个 需 冰冻保存 ，如果收货会比较 及时 话', '咱 小伙伴捣鼓  空气炸锅  烤栗子教程， 给大家分 一下   把咱们 迁西板栗稍微洗一下，再放到通风处晾干  拿出“祖传” 空气炸锅，设置 度 分钟，中间暂停 - 分钟再继续；再设置一次 度 分钟，烤完后让它 锅 静置 - 分钟 可以拿出来吃  （有条件 可以 板栗上刷黄油', '立冬后，吃三样，喝三样 吃三样 老话讲 药补 如食补 人离 开五谷杂粮，养生 关键 饮食   羊肉羊肉性温，能够御风寒补身体，冬季吃羊肉能够让 们寒冷 身体暖和起来 羊肉同萝卜同煮能提供给 们所需 能量与营养 对于 喜欢吃羊肉 人来 ，还可以把羊肉换成牛肉或者乌鸡   冬瓜']"
3,2,312,2_北京_上海_深圳_厦门,"['北京', '上海', '深圳', '厦门', '空气', '地铁', '空气质量', '天津', '天气', '西藏']","['财宝宝 厦门 胡建人心中 白 光厦门最好  空气质量 完全没有污染，蓝天白云，亚热带风光 厦门 城市风光超级漂亮 老建筑很多 金黄色 琉璃瓦 厦门美食 非常非常好 厦门本地人没有胖子 因为饮食结构科学 特色海蛎煎，  小牡蛎加鸡蛋 油炸一下 像个', '转 厦门 胡建人心中 白 光厦门最好  空气质量 完全没有污染，蓝天白云，亚热带风光 厦门 城市风光超级漂亮 老建筑很多 金黄色 琉璃瓦 厦门美食 非常非常好 厦门本地人没有胖子 因为饮食结构科学 特色海蛎煎，  小牡蛎加鸡蛋 油炸一下 像个大饼', '厦门 胡建人心中 白 光厦门最好  空气质量 完全没有污染，蓝天白云，亚热带风光 厦门 城市风光超级漂亮 老建筑很多 金黄色 琉璃瓦 厦门美食 非常非常好 厦门本地人没有胖子 因为饮食结构科学 特色海蛎煎，  小牡蛎加鸡蛋 油炸一下 像个大饼 还']"
4,3,238,3_冬天_下雪_冷空气_二十多度,"['冬天', '下雪', '冷空气', '二十多度', '空调', '冷空气来', '外套', '毛衣', '太冷', '感冒']","['立冬一过，气温骤降，如约而至 冷空气 提醒人们，冬天到  无论  家 还  ， 少人 感受到 冷空气 魔力， 时手脚冰凉 这时，除 打个哆嗦 裹紧被子或 换上厚衣服， 或许还需 一套冬季暖身操  “煲剧” 间隙或 工间课余，把冰冷 四肢温暖起来 戳图', '冬天 ，很多姑娘 光个腿 殊 知有些漂亮女人家  二十多度，下楼到车库 ，坐进车  预先调好 二十多度 到  还 二十多度 只 她想， 可以一直 这种室温 过冬  别以为她晒 到太阳做  运动，她即使没有阳光房，至少 有几扇大冬天 能晒到脸烫 落地窗 然后 下班 挤公交地铁', '冬天 ，很多姑娘 光 个大白腿 殊 知有些漂亮女人家  二十多度，下楼到车库 ，坐进车  预先调好 二十多度 到  还 二十多度 只 她想， 可以一直 这种室温 过冬  别以为她晒 到太阳做  运动，她即使没有阳光房，至少 有几扇大冬天 能晒到脸烫 落地窗 然后 下班 挤']"
5,4,235,4_安眠药_有安眠药_空气_严重怀疑,"['安眠药', '有安眠药', '空气', '严重怀疑', '怀疑', '好困', '有安眠药吗', '安眠药吗', '空气中有安眠药', '空气有安眠药']","['空气中弥漫 安眠药 安眠药', '感觉  空气   安眠药', '空气    放 安眠药']"
6,5,230,5_抽烟_烟味_二手烟_吸烟,"['抽烟', '烟味', '二手烟', '吸烟', '空气净化器', '吸二手烟', '每天', '禁止吸烟', '香烟', '空气']","['奶奶    一万遍 桌上 空气净化器  暖风 ，同个人还  问 几遍 这怎么 冷风🙄下次  站起来  因为坐 对面这个胖子同事和那边那个油嘴滑舌同事抽烟 抽烟 抽烟  经常有老毕登进 抽，  敢叫他们滚出去只好买个小风扇行 吧  很懦弱  再问 等于 跟他们 这 空气净化器', '抽烟 人真没素质  室内抽烟  有病当 别人面抽有尊重过别人吗全 女生 两个破男人天天抽，臭死 ，合  们 抽烟   空气净化器 ，真 害人 闻久 心脏肺  舒服，头 晕感恩 爸一直 抽烟，并且和 一样反感烟味和 爸 这事， 爸 立马劝 辞职，身体', '求助贴 “请问大家怎么有效控制  二手烟 上班 地方  除 之外 几个人 抽烟 整个  充斥 难闻 烟味有没有  空气净化器”']"
7,6,129,6_老师_学习_h老师_导师,"['老师', '学习', 'h老师', '导师', '名字', '隔壁', '小学生', '孕妇', '门口', '考试']","['论现  孩子有多清醒 “老师， 以后可千万  生孩子， 然吃亏   ” “好 好 ”p 体育老师疯狂跟 吐槽 们班体育一塌糊涂p 这  们班  导游   们班导游 帅死   老师 什么 导游摔死 ？p 啥 没准备 喂空气给小鹿吃p 这几个笨', '上完课还剩几分钟，跟学生无意间提到 他们语文老师因为 结婚，有个七天 婚假， 跟他们   想再多上一节课，太累 😔后面男生起哄问 ，老师 咋 结个婚，  没对象 ， 跟空气结婚吗？立马 有个男生跟  ，老师 挺喜欢比 大个十来岁 姐姐 接 又有 男生 ，女大三抱', '刚刚有学生冲到 ，跟他们班主任  “老师!老师!x拉裤裆 !!”em下课时分， 老师学生 比较多  嗯 最怕空气突然 安静   过他们班主任真  ，太会处理事情  她 跟来报告 学生  们  大声笑话他，先赶紧 近带他去教师厕所，过一会儿，这个学生低 头进来之后 没骂他，']"
8,7,112,7_周一_咖啡_音乐_早晨总,"['周一', '咖啡', '音乐', '早晨总', '周一总', '浓郁', '早晨', '最喜欢', '比如', '心情']","['周一 早晨总 让 感觉有些沉重，但 发现简单 小确幸能带来意外 快乐😊 比如，打开窗户，呼吸到新鲜空气，阳光洒 脸上 感觉让 精神焕发☀️  喜欢 咖啡馆点一杯香浓 咖啡，热气腾腾 香气伴随 轻音乐，让 暂时忘记工作 压力☕ 午餐时， 会特意选择自己最喜欢', '周一 工作总 充满挑战，让 有时觉得压力重重，但 总能找到一些小乐趣来点亮  一天🌟 早上， 会泡一杯 最爱 咖啡，浓郁 香气瞬间让 精神焕发☕️   常工作中， 会偶尔听听自己喜欢 音乐，让心情放松一下🎶 午餐时间， 喜欢和同事们一起分 美食，互相', '周一 早晨总 让 感到一丝沉重， 过 喜欢用小巧 方式来为自己增添一份快乐 ☀️ 每当 起床时，泡一杯香浓 咖啡，浓郁 香气瞬间驱散   疲惫，唤醒   心情 ☕️  赶往  路上， 会听一些轻松 音乐，让节奏感包围  身心，瞬间让 拥有 好心情 🎶 工']"
9,8,100,8_香水_会让_物品做几下深呼吸_桌上摆放一些微型植物或者香氛吊饰,"['香水', '会让', '物品做几下深呼吸', '桌上摆放一些微型植物或者香氛吊饰', '再昏昏欲睡', '闻一下', '大自然中', '如果由于空气', '流通而感到烦闷时', '立刻觉得恍若置身于美丽']","['隆鼻综合肋骨鼻修复   桌上摆放一些微型植物或者香氛吊饰 干花，如果由于空气 流通而感到烦闷时，可对 这些清新怡人 物品做几下深呼吸，清香 气味有清醒头脑 作用， 会让  再昏昏欲睡 “ 精神 振 时候，闻一下，立刻觉得恍若置身于美丽 大自然中，闭上眼睛，', '桌上摆放一些微型植物或者香氛吊饰 干花，如果由于空气 流通而感到烦闷时，可对 这些清新怡人 物品做几下深呼吸，清香 气味有清醒头脑 作用， 会让  再昏昏欲睡 “ 精神 振 时候，闻一下，立刻觉得恍若置身于美丽 大自然中，闭上眼睛，   乏闷便消失得无影无踪  心理', '桌上摆放一些微型植物或者香氛吊饰 干花，如果由于空气 流通而感到烦闷时，可对 这些清新怡人 物品做几下深呼吸，清香 气味有清醒头脑 作用， 会让  再昏昏欲睡 “ 精神 振 时候，闻一下，立刻觉得恍若置身于美丽 大自然中，闭上眼睛，   乏闷便消失得无影无踪']"
