,Name,Date,Content
13,是Julia鸭,2016年02月05日 09:34  来自 iPhone客户端,怀孕 姐姐一定 开窗通风， 实 快冷死 鼓起勇气问她能 能关一下，她  好呀那 开另一扇😀
18,歐詩木中國Osmo,2016年02月26日 18:01  来自 专业版微博,位于圣地牙哥 一幢获奖 UC Innovation Centre，其中庭 主干部份涂刷  遍欧诗木硬质蜡油(  ，透明半哑光) 获得Pritzker建筑奖 建筑师Alejandro Aravena，利用 密封 外围与开敞 中庭作对比，中庭能够提供阳光和良好 通风，并使各 之间形成互动
20,郑电翌晨,2016年02月24日 08:03  来自 荣耀畅玩4X·快科技,春季最常见 几大“春病” 快来看看如何预防一.呼吸道疾病 春季 呼吸系统疾病 多发季节，这个时期由于天气忽冷忽热变化无常，尤其 老人和小孩机体抵抗力及免疫力低下，稍有诱因即可发病 防病支招  . 少到人群密集 地方； .每天一定 通风至少半小时； .保证每天饮水  毫
21,星爱物-全城逛街,2016年02月23日 14:33  来自 微博 weibo.com,如果 夏季 为呈爆发式增长 皮脂而大费周章，那么冬季  全面武装对干燥宣战 尤其 早晨上班时饱受寒风摧残，然后一整天 呆  通风  上班族女性，更容易出现皮肤干燥 问题 小编特意准备  小时保湿法则哦 [xkl 拍一]→O 有个偷水贼 OL必知冬季保湿法则
34,莲湖区结核病防治,2016年03月10日 09:17  来自 360安全浏览器,幼儿园结核病预防措施，让祖国 花朵们健康成长  各级各类幼儿园 积极利用健康教育课 班会 讲座 板报等形式，开展经常性 结核病防治知识宣传教育，增进广大师幼对结核病  解，提高自 保护意识 增加营养，加强锻炼，注意个人卫生，勤晒被褥， 随地吐痰等    指
35,虹湾1号,2016年03月09日 14:52  来自 微博桌面,如沐春风 舒爽感， 仅  们喜欢 Style，  工作生活环境 这个时节青睐 Feel 春季通风十分重   管 家 还  ，每天 需 打开通风透气模式，让春风吹得更有渗透感~
39,Riolens,2016年03月09日 07:57  来自 分享按钮,长久坐  无益  特别 有些女性喜欢一吃完饭 坐下来休息，这样子 仅 助于消化，更 会让  下半身发胖发胖再发胖 再者，平时     一直坐 ，由于女性特殊 身体结构，长久坐  利于下半身通风透气，还会造成血气行走 均 所以坐一坐 时候，别玩 站起来走一走
41,康盛机电工程,2016年03月08日 10:06  来自 iPhone 6s,招 聘康盛机电经营范围 批发  租赁 零售 电力设备 净废水设备 暖通空调 节能设备 通风设备 环保设备 节能环保机电工程设计安装 维修 保养服务 节能环保工程 研发，技术推广验收达标服务招聘以下人员 工程部技师多名 .主 职责 工程现场施工 完成本项目主管所安排 任务 .任职资
42,Shall_Bye_Bye,2016年03月07日 17:04  来自 微博 weibo.com,支付宝新大楼没用多久 进去工作 那批人多多少少   前几 查出 问题，真心劝每一位想 活得更久 人，如果进新 或者新家，请一定 注意通风以及空气净化 真
43,点尚天姿丽,2016年03月02日 10:15  来自 皮皮时光机,长期坐 干燥 通风    皮肤受电脑辐射危害  痘痘长 停  没关系![祛痘美白天使套装]来拯救  每天用[祛痘控油洁面乳]洗洁脸部  再用[祛痘精华乳]祛痘  [祛痘亮肤精萃液]平痘印 亮肤色 轻松省事  用一套产品肌肤嫩滑美白.  可用于防痘哦  保持肌肤清爽滑嫩 效果杠杠滴! [好棒]
45,黄羿Piggy,09月17日 20:01  来自 桃黑黑超话,桃黑黑  感谢男神 给 化 妆 真开龙眼 哈😍
46,ENHYPEN,09月17日 20:16  来自 ENHYPEN超话,ENHYPEN  直播
47,汪苏泷Studio,09月17日 20:17,汪苏泷  今 行动暗号 生 快乐今 目标 庆生一整天祝福 怕多，只怕祝福声音 够大祝 生 快乐🎂
48,周柯宇,09月17日 20:00  来自 微博视频号,[柯]技领航，头皮清爽，与 一起，开启头皮护理新时代     下午，  重庆礼嘉天街A馆 F中庭，邀请 一起体验全新海飞丝头皮肌底洗发水——添加黄金浓度水杨酸，一洗控油蓬松去屑 来屈臣氏get海飞丝，解锁更多惊喜吧
49,瀚鼎建筑设计,2016年04月15日 13:13  来自 微博 weibo.com,Cuningham Group新  设计目标 增进该公司 可持续发展，协作和创造力  建筑由现有 仓库改建而成，位于自行车道和世博轻铁站附近 大面积 玻璃和天窗将引入充足 自然光，而通风口和建筑另一端.
54,培训师王正华,2016年04月08日 19:47  来自 微博 weibo.com,[闷] 审核用 会议室三面围墙，另一面 玻璃围墙，双层，加厚，没有空调，很闷，询问为啥玻璃围墙做得那么密 透风，而且没有窗户可以通风换气，企业  此会议室毗邻上级集团高层领导 ，怕会议室开会太吵影响领导 ，设计人员 索性给它用双层厚玻璃密封起来，所以， 会议室进行审核闷死
66,天津城建大学校红十字会,2016年03月31日 17:57  来自 微博 weibo.com,五种帮助 保持室内空气清洁 植物 上世纪  代，因为越来越多 人集中 通风 畅  内工作，他们开始注意到 令人担忧 趋势 人们经常咳嗽，头疼甚至感到呼吸困难 然而当他们下班以后，这些症状. O五种帮助 保持室内空气清洁 植物
67,蚌埠市教育局,2016年03月31日 15:50  来自 微博 weibo.com,淮上区教体局多措并举有效预防春季传染病春季 各种流行性传染病 多发季节，为确保及时 高效地应对可能发生 春季传染病，近期，淮上区教育系统采取多项有效措施，层层落实责任，突出重点，以防为主，防治结合，做到 早宣传 早预防 早防控，切实保障 全区广大师生 身体健康和生命安全
68,全球曝光头条,2016年05月31日 16:38  来自 HUAWEI Mate 8,［福建 一学院 开窗被罚款］据 ，自己 读泉州理工学院，近 贴出通知 因天气炎热，为达到室内通风，并降低温度效果， 求装有空调 各  会议室 宿舍等所有窗户必须全部打开， 打开者，按每个窗户 每块玻璃标准来收费（罚款） 收费依据 什么？大家怎么看？
73,特雷伟博Trevirbo,2016年05月25日 08:58  来自 微博桌面,“接近于优” 良好空气质量，宁波 小伙伴们趁 有好空气赶紧给    家 通通风吧，室内空气污染可 威胁健康 主 杀手
77,用户2009195703,2016年05月19日 18:51  来自 三星Galaxy Note II,山林防火（ ）教师和家长带孩子外出野游 打猎 放牧 采药时  带火种进山，更 准 山林地区吸烟 （ ）学校组织学生到山林地区旅游时，严禁组织野炊 篝火等活动  家庭防火—安全使用炉火一 烟囱 远离电线 顶棚 木墙壁和木门窗等，至少相隔 . 米以上
78,薇诺娜,2016年05月18日 12:02  来自 微博 weibo.com,坐   ， 通风，闷闷 空气让肌肤透 过气来，泛红 红血丝又爬上脸来？皮肤缺水时 最敏感 阶段，很容易受外界影响导致过敏 关键时刻，仅需轻轻一喷，即刻保湿，舒缓安护，告别泛红尴尬  舒缓肌肤保湿滋养等渗补水随时喷一喷给肌肤减减压
82,殷都区曲沟镇第二初级中学,2016年05月12日 15:08  来自 微博 weibo.com,春季 各种传染性疾病 突发时节，为积极防控春季易发病 发生，确保师生身体健康，曲沟镇二中学校积极开展校园卫生消毒和疾病预防工作     ，学校利用上午大课间 时间，对全校进行 一次全面 卫生消毒工作，对学校各个教室   走廊 寝室 厕所等公共场所进行卫生消毒 通风 另外，
86,火品Hopin,2016年05月10日 16:31  来自 360安全浏览器,正宗泰国金枕头榴莲，分分钟 被  小伙伴给秒光 ~~果肉浅黄，酸软味甜， 愧有“万果之王” 美称，吃完以后保证让 “榴莲忘返”  内分 美味榴莲 同时，记得保持通风哟~~
88,帝九养生,2016年04月29日 09:05  来自 微博 weibo.com,铁皮石斛盆景能够起到净化空气 抗辐射 吸甲醛 作用 铁皮石斛花含有多种挥发油，能降郁解燥，舒缓心情，祛除烦躁情绪，保持头脑清醒，保持心情愉悦 将铁皮石斛放  通风 地方，能够提高工作效率 将铁皮石斛放 卧室 阳台上，有助于安定心神，提高睡眠质量
90,种地吧李昊,09月17日 20:14  来自 李昊超话,南京站 . 主題  們一起覺覺豬 李昊
96,信高实验室设备,2016年06月29日 13:35  来自 专业版微博,夏季实验室暖气 通风 空调系统设计原则通用实验室 夏季空气调节室内计算参数为 温度 ～ ℃，相对湿度小于 % 空调系统 主 作用 控制实验室 温湿度 空调系统与实验室通风系统配合，才能真正有效地保证实验室 温湿度和房间压力 有效控制 实验室对空调系统  求，有别于普通 或
97,Elsie_水瓶,2016年06月27日 18:05  来自 iPhone 6s,这种天气  们 为 通风已经 星期没开过空调 还没有电扇       快超神 ？
98,不辣的脱口秀,2016年06月27日 09:37  来自 Weico.Android,空气之差，养什么植物 无法存活， 觉得  差 多  马上 搬新 没通风一旦装好 直接拉过去  觉得 寿命将近
111,Vclean品牌,2016年07月08日 11:48  来自 360安全浏览器,O 链接新装修 有味道  甲醛超标 吗？新房需 通风多久才能入住？放洋葱 柚子皮 植物 活性炭等能除甲醛？室内车内除甲醛如何才能快速见效？用车净宝空气净化 怎么选择才 健康可靠 呢？用VCLEAN 家具除甲醛消毒怎样才最快
114,四川旭日建安,2016年07月06日 10:13  来自 百度浏览器,一大早起床，看见外面 蒙蒙细雨，呼吸到外面 清新空气，感觉心情很好 然而一到公司，因为 通风较差，这时 只需 打开  空调 通风系统，  能呼吸到新鲜 空气
115,教你美哒,2016年07月04日 23:16  来自 贝贝微助手,爱动 好，长久坐 更 无益 特别 有些女性喜欢一吃完饭 坐下来休息，这样子 仅 助于消化，更 会让  下半身发胖发胖再发胖 再者，平时     一直坐 ，由于女性特殊 身体结构，长久坐  利于下半身通风透气，还会造成血气行走 均 所以坐一坐 时候，别玩 站起来走一走
127,浙江天气,2016年08月29日 14:46  来自 360安全浏览器,晴好继续包场， 小编  没有开空调，开窗通风 觉得比较舒服 截止今  时 分，最高气温浙南地区  ℃上下，其它大部 到 ℃
143,肖远林地盘,2016年09月11日 12:58  来自 iPad mini4,无论 还 家 ，只 通风 好 会有些许气味， 仅导致工作效率低， 家休息 成问题 安利优生活®浓缩空气清新剂特有 AMWAY NEUTRALODOR®净化成分，有效去除各种难闻气味，浓缩配方，只需轻轻一按，令 重归清新天地  淡雅大自然田园幽香，清新怡人  成 ·温江
145,夏日心情_888,2016年09月09日 11:33  来自 小米Note,无论 还 家 ，只 通风 好 会有些许气味， 仅导致工作效率低， 家休息 成问题 安利优生活®浓缩空气清新剂特有 AMWAY NEUTRALODOR®净化成分，有效去除各种难闻气味，浓缩配方，只需轻轻一按，令 重归清新天地  淡雅大自然田园幽香，清新怡人
146,标典装饰,2016年09月08日 10:03  来自 360安全浏览器,东莞装修公司——工艺造价性价比最高 装修公司——东莞标典装饰(O 链接专业承接东莞 装修，厂房装修，别墅装修，餐厅装修，家居装修，写字楼装修等家装工装 欢迎来电咨询 - 如何快速消除新房 甲异味？  如果 家可以进行南北通风 话，趁 夏季 到来尽量保持通风
152,罗社长呐,2016年09月03日 22:03  来自 iPhone 6s Plus,院子  植物顺 通风口爬到    希望能全部铺满整个房顶
155,樱花季抹茶戚风蛋糕,2016年09月30日 15:33  来自 Weico.Android,通风  感觉发烧  快点下班
156,四方上下-往来古今,2016年09月30日 08:05  来自 荣耀手机 勇敢做自己,昨天下午 开窗通风，看见窗外一对老夫妇 捡掉地上 白果，瞬间一股恶臭扑面而来，赶紧闭气关窗 今早发现，东门外面 树上 开始往地上掉  注意 ，白果过量食用有毒
157,蚓福生物,2016年09月27日 11:50  来自 微博 weibo.com,很 健康 环境，很多 通风条件很 好，空气污浊 必然  电磁污染  得 ，小小 空间十几台电脑 再加上 族运动少，所以，坐  人排毒 显得非常重   排毒有很多办法， 简单  如何喝茶 看看怎样喝茶才能有效 排毒
159,橙子-Chen先森,2016年09月20日 23:51  来自 iPhone 6,住宅 空间布置通风且流畅，非传统 方式构造 车库 客厅 厨房和餐厅区，最终呈现出宽敞 舒适 感受 二楼 业主 隐私区域，卧室 窗户直接开向中庭，这样每天早上 能呼吸到新鲜 空气，通过中间 走廊，连接 家庭 ，家庭 除   需求，同时还 储存区 作用，当然以后还可能被改造
175,McGill119,2016年10月31日 17:11  来自 iPhone 6,同事抽烟，每天中午大家   歇晌儿时，他 越抽，可能 饭后一支烟，赛过活神仙吧  密闭 环境中，让人苦 堪言  好意思直 ，于 多次想 打开门窗通风，却又怕遭嫌，毕竟现 天儿冷 ——但最多 ， 怕面子上过 去 想想真 为难，世道  这般微妙，明明 没错，却畏手畏脚，去怕那个做
181,华成保险,2016年10月21日 10:37  来自 微博 weibo.com,秋季健康生活分  秋天气候变化异常， 伤风感冒 高发季节 特别 当工作环境通风 好时，感冒更容易  之间迅速传播 因此，保持良好通风至关重 ；其次， 遵循“春捂秋冻”和“耐寒锻炼从秋始” 规律，体质好 应以轻衣薄衫为主，体质较差 则应根据气候变化及时增加衣物
182,青岛市胶州中心医院V,2016年10月20日 16:50  来自 微博 weibo.com,传染性非典型性肺炎传染性非典型性肺炎（简称“非典”） 病毒引起 严重急性呼吸道症候群 主 通过近距离空气传播，直接接触病人 痰液 唾液 鼻涕 会被感染 “非典” 症状先 发热（ . ℃以上），同时伴有寒战 头痛 头晕 全身酸痛 没力气 拉肚子等表现 少数病人有咳嗽 痰少，并伴有
183,朗风官微,2016年10月19日 17:14  来自 360安全浏览器,O警惕 雾霾虽可怕，但室内空气污染更 命  市 白领们  工作时长至少 小时，有时甚至比家 还久？经常会感觉“头昏脑胀” “注意力 集中” “工作效率低下”？ 这些症状并 单纯 只 生活 工作上 压力造成 ，室内空气污染或许才 罪魁祸首 光 简单 开窗通风可 一定管用，选择一台专业
190,龙湖Longfor,2016年11月12日 17:35  来自 iPhone 6,否  通风 空间太小 密闭感强烈  桌逼格太低？距一展空间开业倒计时 天
192,Epiroc中国,2016年11月09日 21:10  来自 专业版微博,常生活中， 们可以自由呼吸，  商场和电影院等场所 通风条件 非常好，所以 们从未特别思考过如果空气稀少该如何应对 而 地下，通风非常关键 L阿特拉斯·科普柯通风系统
194,Coco暖心__日本本土花王纸尿裤,2016年11月08日 09:45  来自 iPhone 6 Plus,天气晴朗 别忽略除菌卡 佩戴🙆🏼‍♂️现  儿童流感和老 人哮喘等呼吸道感染 高发季，每天空气中 有很多看 见 细菌，为 防止发病，建议宝宝们 佩戴空间消毒杀菌卡✅ 一族现  开启 中央空调，细菌更容易滋生， 能及时开窗通风 建议佩戴空间消毒杀菌卡✅
198,滴天居士,2016年11月05日 10:35  来自 iPhone 6 Plus,运势变坏特征， 早上起来  洗脸刷牙 ，家   收拾 ，到处  垃圾，邋 邋遢  这些  倒霉 预兆 !(对 ，走好运之人， 管   还 家   收拾得干净 整洁 ，物品摆放整齐，杂物少，保持通风换气，这个  常识， 们还 普通凡夫，当然 有影响
221,淘宝会敛挺镜,2016年12月28日 02:44  来自 贝贝微助手,爱动 好，长久坐 更 无益 特别 有些女性喜欢一吃完饭 坐下来休息，这样子 仅 助于消化，更 会让  下半身发胖发胖再发胖 再者，平时     一直坐 ，由于女性特殊 身体结构，长久坐  利于下半身通风透气，还会造成血气行走 均 所以坐一坐 时候，别玩 站起来走一走  [风]
223,香意园艺,2016年12月23日 14:10  来自 专业版微博,雾霾多发天气，这些植物比较受宠绿色植物，能够美化环境 净化空气，虽然人人 知道，但具体植物 功能许多人未必知晓  像这些能够吸取雾霾 花一样  .吊兰 吸走雾霾中 一氧化碳吊兰能够帮助 经常开窗通风 房间改善空气质量，尤其对于 等公共场所，而且具有吸收甲醛 能力，能够将空气
224,运气爆棚,2016年12月22日 15:32  来自 酷分享助手,开窗通风，这 净化空气最好 方式  应保证每天开窗换气 少于两次，每次 少于 分钟 打印机 复印机 传真机等设备最好放 走道 独立房间或者其他一些通风好 地方，别放  桌上
226,安放的小花园,2016年12月20日 10:49  来自 魅族 MX5,铁皮石斛～能够起到净化空气 花具有多种挥发油，能够挥发出去，气味清新淡雅，能有降郁解燥，有助于安定心神 舒缓心情，祛除烦躁情绪，保持头脑清醒，保持心情愉悦 将铁皮石斛放  通风 地方，能够提高工作效率；将其放 卧室 阳台上，能够提高睡眠质量  保定
227,邓俊领,2016年12月16日 16:50  来自 HUAWEI Mate 8,无论 还 家 ，或者车 ，会场人多 地方，￥ ，只 通风 好 会有些许气味， 仅导致工作效率低， 家休息 成问题 安利优生活®浓缩空气清新剂特有 AMWAY NEUTRALODOR®净化成分，有效去除各种难闻气味，浓缩配方，只需轻轻一按，令 重归清新天地  淡雅大自然田园幽香，清新怡人 需 联系
239,氧嘻嘻官博,2017年01月10日 16:05  来自 微博 weibo.com,通过科学 空气质量检测可以 解居室和  否符合相关标准，从而规避环境污染 风险 当然，科学 空气质量检测必须 有专业技术和相应资质 公司来进行 一 般来 通过源头控制 过滤 通风来稀释污染物 提高室内空气质量 主 方法  可以通过定期清理过滤网和地毯来进一步提高室内空气质量 当
251,福建气象,2017年02月06日 08:52  来自 360安全浏览器,关键 少“糖”多氧，少吃多动   保证开窗通风，无论 家 还     饮食以鱼类 新鲜蔬菜 水果等食品为主   每次吃七成饱，每 吃两到三餐， 吃或少吃零食(水果除外)   每天做有氧运动 - 个小时以上，做“低碳”一族     长久静坐
252,经典975DJ燕子,2017年02月04日 10:30  来自 微博 weibo.com,节后调解身心小贴士 消除春节综合症其实 很简单，关键 少“糖”多氧，少吃多动   保证开窗通风，无论 家 还     吃甜食 精制淀粉和脂肪，饮食以鱼类 新鲜蔬菜 水果等食品为主  每次吃七成饱，每 吃两到三餐， 吃或少吃零食(水果除外)  每天做有氧运动
255,全椒警方,2017年02月28日 15:56  来自 360安全浏览器,春天来 ，很容易犯困，警察叔叔教 几招，赶快来get吧~ .开窗通风解春困 无论  家还   ，如果室内空气 流通，无疑会使人昏昏欲睡，春困随即而来 因此， 妨打开窗户，迎 扑面而来 新鲜空气，伸个懒腰，提神醒脑，缓解春困  .早睡早起解春困 为 有效驱除春困，大家伙
257,DEEJ复方阿胶浆,2017年02月27日 13:00  来自 微博 weibo.com,人员保健养生指南  .注意室内通风， 内空气流动性较差，尤其 注意开窗通风，早晨上班来到 记得首先开窗，打扫卫生，保持室内清洁，空气清新  .经常站起活动，坐 时间长 ，容易使人感觉腰酸背痛 头晕目眩 精神恍惚 所以  长时间处于 姿势  .注意减少辐射，办
258,古月自在乾坤,2017年02月26日 18:08  来自 iPhone 6 Plus,有些公司 装修很有个性， 做吊顶，最多刷一层灰色或者黑色，建筑原有 梁 柱通风管道和消防管道 看得清清楚楚 如果 餐厅 展览馆 商场等公共空间倒还好，如果 长期坐人  ，而且正好 座位 上方有横梁 粗大 消防水管， 一定健康状况频出，工作压力大，情绪经常失控，睡眠 好，而且
267,菁安人防,2017年03月13日 11:54  来自 超话,热烈祝贺 司 二 一六 七 五 ，经国家人民防空 行政审批，顺利通过防化战时通风资质，成为全国及上海市第二批合法战时通风设备生产 安装 销售 定点企业之一
272,慕尼黑工业大学TUM,2017年03月30日 15:35  来自 360安全浏览器,德国有五分之一 人群 受到花粉过敏 困扰 现 花粉季节来临 时候，这个问题又产生  如何通风才能避免花粉 影响？慕尼黑工大生态气候教席  研究团队对 区域 花粉浓度进行 系统调查，并且据此提供 有针对性 建议 O 链接
274,欢喜房车慢生活,2017年03月29日 22:36  来自 iPhone 7,新 装修告一段落，采购 家具 色彩和装饰物 搭配，一切 按照 们原先设想 慢慢呈现 上周刚放 植物，为 吸甲醛除味道， 料 见它们 已开始泛黄 发黑 枯萎  还  每天物理通风（电风扇吹）和自然通风相结合 情况下 装修者认为宜家  家具 罪魁祸首，而 们觉得装修引起 可能
279,作者长歌,2017年03月21日 11:05  来自 iPhone 6s,哥 广西人，酷爱螺蛳粉 来北京好久 ，最近 网上买 点想解解馋 现 有个问题 螺蛳粉 味道，这么 吧，大概有臭豆腐+芦花 脚，再乘以一百那么臭 如果  封闭  吃， 怕自己被轰出去 公司最通风 地方只有两处 卫生间，老总   该怎么办？ 线等，挺急
280,白茫汪汪,2017年03月20日 21:41  来自 iPhone 6,感觉自己过  假春分，据 周五可能会下雪 赶上 搬新家，整个区域  开窗通风，奇冷无比 话 又到望京上班 ，还 坐上两 前上班那趟公交车，一夜回到解放前
281,金鹏辉1688,2017年03月17日 13:26  来自 全网诚信通,集成吊顶铝合金木纹U型通风防潮格栅天花吊顶材料客厅酒店  O 链接
284,童淇读书,2017年04月10日 11:47  来自 iPhone 6s Plus,一只流浪小猫突然出现  们 通风口，好可怜
295,菜根谭网络,2017年06月12日 07:39  来自 百度浏览器,尤为重  简单介绍一下    桌（ ）  桌 理想方位 桌之后最好 厚实 墙，左边 窗，透过窗 美丽 风景，景色优美 采光良好 通风适宜，这  最佳 工作环境 （ ）  桌 色彩选择每个人 命理 同，所以选择 桌 色彩亦 同，这需 配合自己 五行来选择合适自己
297,上海微特派,2017年06月07日 16:50  来自 专业版微博,天气越来越热，很多人   家  空调温度  越调越低，可 ， 因 空调房间呆 时间长 ，人 抗高温能力越来越低，竟然出现 “冷中暑”  天气虽热，但一定 保持室内通风，开空调室内外温差 超过 ℃为宜； 能长时间待 空调房间， 经常到室外走走， 出一些汗；平时可经常 太阳穴涂抹清
298,张峰Looisk,2017年06月04日 15:16  来自 iPhone 7 Plus,有一友人喜茶生意做 很大租 一個很大 辦公室卻棄置 用 茶館長期租 包間 棄置 用喜歡一個人抱 電腦 茶館 大廳辦公海豐偶遇此人感覺此人甚妙便詢問根源此人一說大廳通風好言稱風水佳二說煮茶泡茶茶香四溢泡茶有人泡喝茶很隨意言稱 用 意其他三說大廳中陌生人人來人往熟悉
299,二木的花园,2017年06月03日 14:20  来自 专业版微博,西朝落地窗还蛮适合养玉露 ，每天 照时间 小时左右，通风良好~当初从花园拿 些小小 过来， 受慢慢养大 过程
302,AI克隆地球,2017年06月28日 20:34,Apple Park 全球最大 智能系统大楼整栋大楼 温度 湿度 灯光 通过智能系统控制 舒适 范围通风系统更 厉害整栋大楼 需 一台空调（除非极端天气）它采用  自然通风系统员工   能感受到自然风
303,黑黑黑黑黑黑老师,2017年06月28日 08:18  来自 吴青峰送的vivo Xplay5旗舰版,已婚直男平时身上体味大点 大点，这没什么，开窗通风 好 可加上俩 “坐 子” 已婚已育妇女，大夏天空调 开，窗户关上 那他妈 气味简直呜呼哀哉
304,亨利3世,2017年06月28日 06:41  来自 iPhone 7 Plus,辦公室有個小房間 通往他們活動 地方， 故意 關上門，看他們 喜歡待 外面，還 躲到小房間裡，拍照為證幾次 做 到，只 有動靜馬上從小房間裡衝出來， 沒有開空調 情況下，裡面絕對比通風良好 外面涼快，他們卻選屋子裏，可惜他們 會說話，無法告訴 們原因早上好
310,东511111,2017年07月14日 15:20  来自 华为手机,只从通风管道掉下来 小可爱，整个 炸 ，一屋子铲屎官 北京·中国电影导演中心(酒仙桥北路店)
312,娜蜜丝女神学院,2017年07月11日 17:28  来自 360安全浏览器,变老TOP ——长期待 空调电脑房 变老原理 空调房干燥  通风透气 环境会造成皮肤水分 足，胶原蛋白流失 而 们长期待 空调房 一定还会有电脑，电磁波会直接对 们 面部皮肤造成伤害，可以破坏皮肤中 胶原纤维，加速肌肤老化 常常使用电脑 童鞋 会有干皮更干，油皮更油 体会
313,焦糖玛奇朵Lion,2017年07月07日 08:38  来自 杨洋超话,度， 通风，没空调，顶层还 阳面  ，简直想死
315,萨摩亚传统诺丽酵素,2017年07月04日 08:35  来自 360安全浏览器,教  招，帮 过夏天勤通风 下班后打开 窗户，上班之前把家中窗户打开，保持室内空气流通，可减少细菌 滋生 尽量   空调房抽烟，使用刺激性 空气清新剂和香水 忌太冷 空调温度  低于 度， 到 度 人体比较舒服  温度 如果 环境过冷，建议自带披肩，可以保持温度；
316,三和地理,2017年07月01日 00:23  来自 咸宁超话,富贵竹 养护及摆放风水一 富贵竹摆放风水  东南方向摆放富贵竹有助于招财进宝   富贵竹可以增加室内阳气，使人变得更加精神   放 流 文昌位，有助功名 事业 学业   放 九紫喜庆位，可助吉庆喜事姻缘，家庭幸福和乐，旺家运 二 富贵竹怎么养  将富贵竹置于室内通风
