,Topic,Count,Name,Representation,Representative_Docs
0,-1,1075,-1_通风_开窗通风_时候_开空调,"['通风', '开窗通风', '时候', '开空调', '空调', '窗户', '这样', '知道', '这个', '同事']","['爱动 好，长久坐 更 无益 特别 有些女性喜欢一吃完饭 坐下来休息，这样子 仅 助于消化，更 会让  下半身发胖发胖再发胖 再者，平时     一直坐 ，由于女性特殊 身体结构，长久坐  利于下半身通风透气，还会造成血气行走 均 所以坐一坐 时候，别', '白领 招防 污染①多通风勤打扫；②摆放绿色植物；③养成良好 习惯；④饮食调节，多吃“三抗食物 ” 抗粉尘吃鸡 鸭 猪血，抗金属食用牛奶 豆腐，抗辐射多吃海带等蔬菜', '白领 招防  污染①多通风勤打扫；②摆放绿色植物；③养成良好 习惯；④饮食调节，多吃“三抗食物” 抗粉尘吃鸡 鸭 猪血，抗金属食用牛奶 豆腐，抗辐射多吃海带等蔬菜']"
1,0,240,0_五一_通告_外防输入_当前,"['五一', '通告', '外防输入', '当前', '内防反弹', '公告', '目前', '无症状感染者', '密切接触者', '时至']","['郑州市新冠肺炎疫情防控指挥部 关于加强“五一”假期疫情防控工作 通告郑州市新冠肺炎疫情防控指挥部 关于加强“五一”假期疫情防控工作 通告（   号）当前，国内疫情防控形势依然严峻复杂， 市疫情防控仍处于攻坚阶段，“五一”假期即将到来，人员流动聚集增加，疫情传播', '红河州  “五一”假期期间疫情防控提示近期，全国疫情仍处于多点散发和局部聚集高发阶段， 州连续发生多起境外输入引发 本土疫情，随 “五一”假期临近，人员流动更加频繁，全州“外防输入 内防反弹 严防外传”面临更加严峻考验 为保障广大人民群众度过 健康 欢乐 安全 假期', '关于切实强化“五一”假期疫情防控措施 通告（第八号）近期，国内疫情仍处于高位，随 “五一”假期临近，人员流动更加频繁， 市“外防输入 内防反弹”工作面临严峻考验 为确保人民群众度过 欢乐 健康 安全 假期，坚决守住 出现疫情规模性反弹 底线，现 强化 市“五一”假期疫情防控']"
2,1,173,1_空间_平方米_装修_设计,"['空间', '平方米', '装修', '设计', '风水', '房子', '建筑', '环境', '注意', '如果']","['买房 最好 应对危机保护财富办法 如王伟业言，现 房地产行业进入 “双稳”周期，即政策平稳与房价平稳相结合 而开发商拿地 开发 手段，  断 更新，脑洞越开越大 模式有战略合作 股权合作 联合拿地 并购合作 资产转让收购 城市更新 代建 股权收购 国企混改 联合开发等等 目标城', '风水秘决风水学认为吉祥环境 气场对人 胆略 智慧 有一定 帮助，进而影响到生意 兴衰，事业 成败 那么 家俱将如何摆放呢？摆放写字台，有两点 注意，一 注意 能将写字台正面对 进门 二 注意坐 写字台之后 人 有墙一类 凭靠， 能有多余 空虚 避免将写字', '风水如何布置？ 和 台摆放 至关重  因为吉祥方位 气场对人 胆略 智慧 有一定 帮助，进而影响到生意 兴衰，事业 成败 那么 家俱将如何摆放呢？摆放写字台，有两点 注意 一 注意 能将写字台正面对 进门 二 注意坐 写字台之后 人 有墙一类 凭靠， 能有']"
3,2,166,2_抽烟_通风_烟味_二手烟,"['抽烟', '通风', '烟味', '二手烟', '吸烟', '每天', '本来', 'nm', '为什么', '舒服']","['终于知道 哪个sb   抽烟😅  通风   抽烟 活 到出门 吧😅', '这么 通风，还 抽烟 给 死', '领导们聚 一起喝茶聊天吃水果  好 多健康 为什么 抽烟？ 为什么   抽烟？ 为什么  通风 好  抽烟？']"
4,3,160,3_睡前_通风_可能_每天,"['睡前', '通风', '可能', '每天', '工作', '因为', '加班', '开心', '一天', '白天']","['中秋节前 最后 正常 工作 下午，坐 这个幽暗又 通风  ，每天 觉得压抑 可能 工作  遂心，可能  龄带来 焦虑，可能 存款 够支撑想  生活，可能 妈妈 病情  知何时，发现 眼角 纹路更加清晰 ，虽然 没有容貌焦虑，但   禁感叹时光流逝 昨天和娄先生谈及', '， ↓↓ .确定 睡觉时间和起床时间； .如果 有小睡习惯，白天 睡眠时间  超过 分钟； .睡前 小时避免过量饮酒，  吸烟； .睡前 小时避免咖啡因 这包括咖啡 茶叶和各种苏打水，还有巧克力； .睡前 小时避免吃重口味 辛辣或含糖 食物 睡前吃点', '，十个步骤实现健康睡眠↓↓ .确定 睡觉时间和起床时间； .如果 有小睡习惯，白天 睡眠时间  超过 分钟； .睡前 小时避免过量饮酒，  吸烟； .睡前 小时避免咖啡因 这包括咖啡 茶叶和各种苏打水，还有巧克力； .睡前 小时避免吃重口味 辛辣或含糖 食物 睡前吃点小']"
5,4,154,4_植物_半阴_家中或_耐阴植物,"['植物', '半阴', '家中或', '耐阴植物', '能够', '光照与位置', '金枝玉叶', '阳光下', '种植方法和注意事项', '金枝玉叶适应性强']","['🍃金枝玉叶 种植方法和注意事项 .光照与位置（ ）耐阴植物 金枝玉叶适应性强，能够 半阴 环境中生长，但最好能够提供明亮 散射光 避免将其直接暴露 强烈 阳光下，以免叶片被晒伤 （ ）室内摆放 适合放置 家中或  室内环境中，尽量选择光线充足但无直射阳光 位置，如靠', '\ue627种植 金枝玉叶 种植方法和注意事项 .光照与位置（ ）耐阴植物 金枝玉叶适应性强，能够 半阴 环境中生长，但最好能够提供明亮 散射光 避免将其直接暴露 强烈 阳光下，以免叶片被晒伤 （ ）室内摆放 适合放置 家中或  室内环境中，尽量选择光线充足但无直射阳光 位置，如', '🎋金枝玉叶 种植方法和注意事项 .光照与位置（ ）耐阴植物 金枝玉叶适应性强，能够 半阴 环境中生长，但最好能够提供明亮 散射光 避免将其直接暴露 强烈 阳光下，以免叶片被晒伤 （ ）室内摆放 适合放置 家中或  室内环境中，尽量选择光线充足但无直射阳光 位置，如靠']"
6,5,143,5_味道_通风_开窗通风_整个,"['味道', '通风', '开窗通风', '整个', '厕所', '吃榴莲', '本来', '这个味道', '吃辣条', '男同事']","['今早有事 去咨询信息科，他们 中两位男同事吞云吐雾，整个房间烟雾缭绕，硬 头皮咨询完后 们火速逃窜回自己  中 师姐  行 觉得 身上  味道，快 开窗通风    感觉  鼻孔   这个味道 （抽出纸巾狠狠一擤）师姐   对于 们来 闻这个味道很痛苦，但喜欢吸烟 人进', '领悟到 什么 binglang味道（ 好意思怕误伤所以用拼音），  突然来  男同事，两三天来一次，每次  下午来，直到  才明白为什么每次他一来 ，房间  会突然有一股腻死人 味道，听别人聊天才知道他非常痴迷嚼binglang，原来这个恶心 味道  binglang味儿 由于最近几次', '嗓子疼又拉肚子，好想吃辣 食堂 通风口  厕所，闻  炒青椒 味道，好香 想起  石河子大学博学楼厕所第一次闻到藤椒味方便面 味道，  好香 好搞笑 ～只 过，短短几 ，一切 物 人非']"
7,6,105,6_老师_教室_学生_学校,"['老师', '教室', '学生', '学校', '没有', '平等', '班级', '陈老师', '梦见', '时候']","['昨天晚上 做 很长 梦，一开始 梦见  家 ， 知道为什么 上床睡觉 后来地点 转入 高中 学校， 穿 一件白色 卫衣，大概 展猫同款 那件， 找教室上自习，但 发现教室 满 ，只有通风口那 有半个屋子 空 ，挨 老师   还梦见 马老，', '崩溃 常 . 回家大喊“ 回来  ” 婆 妈 舅 出来迎接，但没看到买买，疑惑？ 妈看 表情 知道  问啥，解释 他 洗澡，他  洗得香香 姐姐才会亲他小小 纪这么会，崩溃× . 点名， 组长没来， 问为啥，学生 她被留 老师 补作业啦，她英语才考 三十多分 为什么选她当组', '昨天进教室 (鼻子嗅嗅后，皱眉) 嗯～有味道 学生 荷尔蒙 味道 /男人味  (嫌弃脸) 通风通风  晚上学生 老师， 买杀虫剂 ，教室好多虫子 诶，为什么 没有？ (笑脸） 因为  臭 学生 老师，  嫌弃 们  (孺子可教，欣慰) 诶， 听出来  学生  以后']"
8,7,70,7_同事_然后_知道_sorry,"['同事', '然后', '知道', 'sorry', '事情', 'de', '一下', '当时', '主任', '可怜']","['（主任想开门通风 同事👦🏻进来  直接走向 ）同事    下午来得晚吗       点 才到  点上班同事  到几点 主任  点同事（对主任 ）  能让小李这么辛苦   然还 护肤 皮肤 会变 好 主任 哪  把她调这个部门来   而且 更辛苦  看看  憔悴 同事', '讲讲这个几把同事，早上来，一开口， 们 场 人 惊呆  因为完全  安小鸟被毒哑 声音，   阳 吧？她苦笑  ，应该 感冒吧， 倒希望阳 但 一点  信，然后过 会她去 级部  个抗原，然后 看她 开始测 ，  出去  然后她测完 回来 ，她还喝 口水 然后  出去打电话 ，', '生平 太服人， 们领导  真服 ，昨天中午 跟她 ，有条清道夫死 ，她居然 捞， 当时 惊诧  然后 还拿 塑料袋给她，  回  ，后来见她两手空空 进来， 又惊诧 ，妈呀，居然第一时间 自己 把死鱼扔   天呐   想 怎么能小看人呢，太 应该   来上班走道 ，一股']"
9,8,69,8_领克_座椅_加热_移动,"['领克', '座椅', '加热', '移动', '一下', '东风', 'arc', 'mm', '全新', '仅仅']","['前脸升级 大巴赫款豪华包围，搭配锐利 鹰眼式LED大灯，时时 彰显 它非凡 气度 进入驾驶舱，极尽奢华 感觉迎面而来，米白藏蓝拼色设计辅以雀眼枫木木饰面板妆点，视觉效果上非常棒，光影婆娑，独耀雀眼  mm 超长轴距，缔造出超大 车内空间，宽大 航空座椅， 项电动调节 一键平躺 座椅', '“沙发厂”百万级大单品 把东风 产N  “超智能舒适”搬进  素有“沙发厂”称号 东风 产， 汽车座椅舒适度技术上，一直 进化 从带记忆功能 电动座椅 扇贝造型座椅，到采用与按摩椅同源 Ottoman脚托 零重力座椅  进入AI时代，东风 产又交出 全新', '领克  旗舰SUV，开启多元生活超大空间，满足多样想象领克 作为旗舰SUV，重新定义 豪华 车长 mm，轴距达 mm ，内部空间有 . ㎡ 六座布局下，每个人 有超 ㎡ 宽敞空间， 像 “移动大平层”  座椅灵活多变，二三排座椅 滑轨长达 mm ，能前后调节  管 商务出行还 家庭露']"
