,Day,Month,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Date,Content,year
0,4,12,0,0,0,0,豆腐君-闲散听剧聊个天,2023年12月04日 10:30  来自 HUAWEI Mate 40 Pro,早吖，又 工作 循环开始 ，  进入最后   哎，这一 过得好快最近病毒好像有点厉害，    还 戴个口罩吧大家  防护好身体昂~ 牛油果绿一套＋羊毛裤，结果   太暖， 默默披上 羊毛大披肩，上海  室内温度总 如此 可捉摸,2023
1,22,12,1,2,2,2,杏花疏影清风,2023年12月22日 11:10  来自 HUAWEI Mate 20,今  冬天，冷到 怀疑人生 以往真 没有这么强烈 感觉，好像穿厚点  过去  可 今 ，真 冷到 没处躲没处藏   两台空调开 嗡嗡作响，一天到晚 停，可 依然手脚冰凉  停 喝热水 后果  需  停上厕所，厕所那种如同冰窖 温度，会让 让如厕如酷,2023
3,14,12,3,4,4,4,塔卡沙TYAKASHA,2023年12月14日 15:29  来自 iPhone客户端,TYAKASHA塔卡沙 🏠上次去凡几市集做 热转印被好多朋友喜欢，为  其他城市 呼声，挑选 一些大家喜欢比较多 图案搭配 数量 多 由 们手工包装发出， 希望真心喜欢 朋友们可以感受到它 温度 ✂️灵感来源   同事们总喜欢捣鼓些可爱 小玩意，把爱吃 食物DIY成可爱,2023
4,24,1,4,5,5,5,欢脱的小水母,01月24日 15:00  来自 欢脱的小水母超话,欢脱 小水母 冬天上班  空调房待一天真 对 这个沙漠大干皮很 友好脸憋得通红最重   真 很干很干 每次到这个点  想 晚上回家一定 敷面膜 但 每次晚上一到家想到这个温度脸上再敷个冰凉 面膜    脸可能 受 住这么一天天冰火两重天 刺激大家冬天敷面,2023
5,16,1,5,6,6,6,秦祎墨,01月16日 17:27  来自 微博搜索,真服  们 ，淄博现  温度  度到零下一度 下周还有零下九度 哪个神经病游客冬天零下九度吃烧烤   们发癫之前连天气预报  看一眼 吗？ 去 淄博四 火 ， 们 今 一 唱衰 ，真  活    记者 走出 看看世界吧， 会死 真服,2023
8,10,11,8,9,9,9,小林雅-miyabi,2023年11月10日 10:04,逐渐入冬之后除 温度变化之外最大 应该  阳光 变化 ，好像阳光变得温暖，大 起来 第二显著 变化  ，  待时间长 之后，李泽言 黑色西服 变得烫烫 起来 本来开 百叶帘 大落地窗之下整个房间 暖乎乎 ，更何况李先生还穿 一身黑西装 颜色越深好像吸光度越大来   看,2023
10,22,1,10,11,11,11,判答,01月22日 09:13  来自 星座好心情制造机,这一周星象变化 很重 ，先有金星过境到摩羯座， 恋情 温度上升，特别容易喜欢上比自己 龄 地位长 对象 狮子座 满 会得到回复 事情尘埃落定，很快 论功行赏 希望 们 有个清晰 方向， 辜负好时光 狗屎运星座 白羊 处女 摩羯座,2023
14,17,11,14,15,15,15,运势王明磊,2023年11月17日 15:46,温度太适合睡觉 ， 每二十分钟 得去走廊冷一下精神精神,2023
15,13,11,15,16,16,16,既止_,2023年11月13日 20:48  来自 针锋对决超话,天气这么冷，顾总 风度  温度坚持上班 穿板正 防冻 衬衫西装，原炀坚持每天早上拿 厚衣服跟他僵持 感觉他俩对峙 最后结果   顾青裴走进 ，看见穿成小面包 何咕咕，露出 过来人 和蔼微笑 然后他给咕展示 一下原炀早上 他西装外套上贴 十几个暖宝宝 有一 一，确实暖和,2023
146,29,2,157,159,177,177,Yayiiiya_,02月29日 22:33 转赞人数超过20  来自 iPhone 15,来小师妹实习简直幸福感拉满——人美嘴甜还有眼力劲儿 讲话温温柔柔  每天 一到工位 水杯  有温度刚刚好 烫嘴  凉 水 眼泪 🥲每天讲八卦讲到嗓子冒烟 还可以一起分 零食一起玩 上班 变得快乐,2023
