,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Day,Month,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Date,Content,year,Env_prlbm,Sent_lvl
0,5,5,1656,1,9,1700,1702,2067,2176,甘淋碟,2024年09月01日 09:02  来自 iPhone客户端,温度直接让 穿上棉衣,2024,1,-1
1,9,9,1660,30,8,1704,1706,2079,2188,集安A先生,2024年08月30日 22:26  来自 集安旅行超话,集安旅行   温度温暖依旧 通化·集安市人民检察院,2024,1,1
2,10,10,1661,30,8,1705,1707,2082,2191,楊-娃娃-Lisa,2024年08月30日 19:18  来自 HUAWEI Mate 50 Pro,，看看，成 这么热，体感温度那么高，几十个娃娃  教室 面，看下 们头顶 这个小吊扇， 们于心何忍，还 发布延迟开学吗？除 课间十分钟，大部分时间  教室，万一热倒几个娃娃， 们来负责吗， 们还 低龄段学生  们 诉求    么,2024,1,-1
3,11,11,1662,30,8,1706,1708,2084,2193,朴道水汇,2024年08月30日 18:17  来自 微博视频号,朴道四合一气泡水机，快速制冷 酷爽气泡水 RO净化 多档温度/水量调节，给 四心满分宠爱 拥有它， 可以变身 调配师，品质饮水即刻拥有  四合一气泡水机 糖 卡 脂气泡水 朴道健康水 L朴道水汇  视频,2024,1,1
4,23,23,1674,29,8,1718,1720,2100,2210,桃派嗑学家,2024年08月29日 18:18,空调有点冷 所以 每天   穿 外套  下班一出公司突然感觉巨热 然后 才发现 没把外套脱掉本老人家 这样,2024,1,-1
5,24,24,1675,29,8,1719,1721,2101,2211,againreally,2024年08月29日 17:28  来自 iPhone客户端,空调温度调到 度 ，还 没有任何冷气 热到想yue,2024,1,-1
6,25,25,1676,29,8,1720,1722,2102,2212,CosmicDustBBZ,2024年08月29日 16:31  来自 微博网页版,最灵敏 温度传感器热 脱外套冷 穿外套,2024,1,-1
7,26,26,1677,29,8,1721,1723,2103,2213,Kelly__Li,2024年08月29日 15:58  来自 HUAWEI Mate 60 Pro,度 室外温度 度 室内温度坐 吹空调 领导让 们搬 只有MMP,2024,1,-1
8,27,27,1678,29,8,1722,1724,2104,2214,HA_NimahaI,2024年08月29日 15:22  来自 燥候iolo iPhone 15 Pro,💩CKG这个天 下午两点半开车开空调吹一路  这十多分钟坐车  中暑  每天从 走 s到厕所  能感受到裤子温度一下子升到  摄氏度 贴皮肤觉得热 开头 本周最热 结果下周 好 到哪儿去,2024,1,-1
9,28,28,1679,29,8,1723,1725,2105,2215,北城有鱼9768,2024年08月29日 13:26  来自 iPhone客户端,太冷 ，受  ，好烦，体感温度怕 只有 度，穿个短袖巨冷,2024,1,-1
10,29,29,1680,29,8,1724,1726,2108,2218,3slepaeso-o,2024年08月29日 11:16  来自 Rorschach超话,冷得像冰窖 同事姐怕 觉得热没调温度  怕同事姐热 没调温度 但  们俩 默默地穿上 外套,2024,1,-1
11,33,33,1684,29,8,1729,1731,2115,2226,真是厉害了呀,2024年08月29日 08:48  来自 微博网页版,文  ， 个漂亮优雅 男人，气质禁欲，眼尾泛 薄红，看起来..很招人欺负  初次进他 ，空调 温度有些低，他穿 纤尘 染 白衬衣，眉眼压低，疲惫地靠 椅背上  顺手拿起遥控器， 他 虞 眼神中又放下,2024,1,1
12,37,37,1688,28,8,1733,1735,2119,2230,嗯嗯-您没有被邀请,2024年08月28日 21:53  来自 iPhone客户端,空调温度真 跟 太平间一样（他们平时 开 度，还 加风扇） 冷得 头痛胸闷还以为 猝死 ，下班躺床上 又活过来    这薛定谔 烂身体,2024,1,-1
13,39,39,1690,28,8,1735,1737,2121,2232,喝豆浆的咖啡猫,2024年08月28日 19:34  来自 nova11系列敢拍敢出色,成  公立小学   大部分没有空调？ 娃 小学 没有，只有老师 有   小孩比大人更怕热吗？到底 咋想 气温这么高，  延迟开学， 怕小孩中暑么？ 个孩子挤 没有空调 房子 ，加上湿度大，气温 ° 时候怕 体感温度 有 °以上  孩子每   长,2024,1,-1
14,41,41,1692,28,8,1737,1739,2124,2235,小阿莓吖,2024年08月28日 17:41  来自 iPhone客户端,开空调 好冷，但  开 有隔壁 烟味儿跑进来，温度和清新 可兼得,2024,1,-1
15,47,47,1698,28,8,1743,1745,2131,2242,-咕噜噜噜噜噜噜噜-,2024年08月28日 13:14  来自 iPhone 15 Pro Max,中午没休息，排练舞蹈，热一上午，回到工位发现 空调开 度室外温度 过 度,2024,1,-1
16,49,49,1700,28,8,1746,1748,2134,2245,请输入昵称瑾知瑾知,2024年08月28日 12:01  来自 HUAWEI Mate 50 Pro,大写佩服  室内表示 没啥胃口吃饭， 几台空调开 温度 降 下来，一天罢工几次,2024,1,-1
17,56,56,1707,28,8,1753,1755,2143,2254,隐匿004,2024年08月28日 09:05  来自 iPhone客户端,终于见到温度表上 度 温度， 夏天，  一直    度，热 很， 靠两个电风扇度过 这个夏天，倒 习惯 昨天已经好些，  度，已经 怎么觉得热 ，再热个 天差 多 吧  这个夏天受,2024,1,-1
18,57,57,1708,28,8,1754,1756,2144,2255,三一肆就是314,2024年08月28日 08:24  来自 微博网页版,对吹空调真 有种害怕，但凡 空调开大 温度开低 抵达 吹必然关节酸痛，湿气重,2024,1,-1
19,58,58,1709,28,8,1755,1757,2145,2256,滑手元明,2024年08月28日 08:21  来自 Xiaomi 12S Ultra,温度取决于领导舒适 温度， 没开空调，给 热 够呛,2024,1,-1
20,64,64,1715,27,8,1761,1763,2152,2264,-玛卡巴卡不熬夜,2024年08月27日 20:29  来自 iPhone客户端,看到 室内跟室外 温度差距 能超过 度，可 室外四十多度， 开  度，想差 多度,2024,1,1
21,65,65,1716,27,8,1762,1764,2153,2265,海蓝谭,2024年08月27日 19:38  来自 nova 9 SE,好久没体验过下班走路 热， 感受 五点半从 出来到户外，低温到高温环境，热气一下子 笼罩全身，耳朵感觉  火边烤 ，物品 被热气传递 温度 太阳下有烫 感觉，树林下好一些，有风吹来 热 ，行走 人 多 一会后身体适应温度，热气腾腾感减少 摆摊 那对老 夫妇 出摊，看 她 李,2024,1,1
22,67,67,1718,27,8,1764,1766,2155,2267,石芽-,2024年08月27日 18:43  来自 iPhone客户端,开 空调， 们 室内温度 度 真  离谱,2024,1,-1
23,71,71,1722,27,8,1768,1770,2161,2273,想簇拥烈日的花,2024年08月27日 14:44  来自 微博轻享版,温度开到 度，妹 ， 工位 空调口，成冰窖,2024,1,-1
24,72,72,1723,27,8,1769,1771,2163,2275,他山珩,2024年08月27日 13:06  来自 iPhone7iPhone客户端,公司 空调冷  瑟瑟发抖同事们  什么怕热体质吗开 度会死人 知道吗,2024,1,-1
25,73,73,1724,27,8,1770,1772,2164,2276,捕星光月色来煲汤,2024年08月27日 13:04  来自 iPhone客户端,怪 得一到  症状加重，原来空调温度   头晕，咳嗽，喉咙痛,2024,1,-1
26,75,75,1726,27,8,1772,1774,2166,2278,小噜老师好,2024年08月27日 12:27  来自 iPhone客户端,限电能 能全 居家 ，感觉 坐 坐  中暑,2024,1,-1
27,77,77,1728,27,8,1774,1776,2168,2280,不忘初心的龙猫,2024年08月27日 11:55,大夏天，空调开上下扫风 行，左右扫风  行，开风扇 觉得风吹到她 ，温度开低  行，   让老板单独给 安排间,2024,1,-1
28,78,78,1729,27,8,1775,1777,2169,2282,想要拥有三头六臂,2024年08月27日 10:55  来自 三温鱼🍣iPhone客户端,感觉领导像个傻子有时候他 最后 离开  ，关 灯但没关空调第二天 早上走进 像走进冷库刚觉得 好热 🥵打算把空调温度调低，一看 他早上比 早到 ，开 灯但没开空调,2024,1,-1
29,79,79,1730,27,8,1777,1779,2171,2284,名称已发胖,2024年08月27日 10:24  来自 微博轻享版,室外 ° 温度，  有 °，因为男同事觉得刚好，空调只开送风 别开送风 ，直接把 送走得,2024,1,-1
30,82,82,1733,26,8,1780,1782,2176,2290,Simple____HL,2024年08月26日 23:20  来自 iPhone客户端,突然最高温度 来到  度，室外下雨凉快 很，但室内还得风扇，还好 已经  渗水 呢,2024,1,1
31,84,84,1735,26,8,1782,1784,2178,2292,Feiloy,2024年08月26日 22:47  来自 iPhone客户端,牛马 命  命，无法想象这么大个公司 温度 度 整个八 先 肠炎再 痱子，无缝接档，免疫力低成这样 这个班   非上 可,2024,1,-1
32,85,85,1736,26,8,1783,1785,2180,2294,这个人喜欢碎碎念,2024年08月26日 21:20  来自 iQOO Neo9,限电把 空调温度调高 可以理解，但本以为食堂晚上 开灯，让大家打 手电筒吃饭已经很夸张 ，结果发现单位门口几个小路口连红绿灯🚦和路灯 给关 ， 实让 见识到 限电 夸张,2024,1,-1
33,87,87,1738,26,8,1785,1787,2183,2297,慕青青青青青,2024年08月26日 18:42  来自 大设定师Android,热  脑门疼，天知道上半  时候 还 开玩笑 今 应该 会再热 吧结果从立秋之后温度一路飙升,2024,1,-1
34,88,88,1739,26,8,1786,1788,2184,2298,Aurora_E_,2024年08月26日 18:24  来自 Redmi K50 电竞版,这个汗蒸 戳 一整天后背和裤子 没干过  空调到下班 没把温度降下来,2024,1,-1
35,89,89,1740,26,8,1788,1790,2186,2301,棒呆mm,2024年08月26日 17:42  来自 Xiaomi MIX Flip,份，  穿短裤竟然冻 腿疼，一场秋雨一场寒诚 欺,2024,1,-1
36,91,91,1742,26,8,1790,1792,2188,2303,斑马还没睡iiii,2024年08月26日 17:24  来自 想睡觉Android,上个班  大楼下午 突然关空调几个意思成 这个温度 谁还认真上班,2024,1,-1
37,92,92,1743,26,8,1791,1793,2190,2305,柒渝丸,2024年08月26日 16:20  来自 iPhone客户端,勒个乖乖，这 跟冻库一样， 坐一下午感觉  跟冬天穿个短袖 外面呆 一样感恩 鹿总送来 温暖  又活过来,2024,1,1
38,94,94,1745,26,8,1793,1795,2195,2310,minamimiminani,2024年08月26日 14:06  来自 HUAWEI Mate 30 Pro,空调温度和风扇吹出来 温度一模一样真  疯,2024,1,1
39,95,95,1746,26,8,1794,1796,2196,2311,花满枝桠一树繁华,2024年08月26日 14:02  来自 iPhone客户端,点- 点 开空调，其他时间一半空调 度以上 一半 开，中午还关电梯 这叫 限电？ 一圈玻璃 隔热 全 电脑 人多，温度根本降 下来 为什么成  度才一周，电 扛 住 ？别人重庆武汉， 度快    没听 限电 太拉垮,2024,1,-1
40,96,96,1747,26,8,1795,1797,2197,2312,breeze_120,2024年08月26日 13:56  来自 微博轻享版,搁 上假新闻？中午关空调，而且全天空调温度高 坐  出汗真有脸  实,2024,1,-1
41,98,98,1749,26,8,1797,1799,2199,2314,thereasonisYouuu,2024年08月26日 13:44  来自 月球,吗喽 命  命， 温度 度，热到心率 变快,2024,1,-1
42,99,99,1750,26,8,1798,1800,2201,2316,是小西阿阿,2024年08月26日 12:46,真 岁数大   可能自己瘦 现 自己 这屋 觉得 开空调刚刚好其他屋 感觉冷冷 哈,2024,1,1
43,100,100,1751,26,8,1799,1801,2202,2317,致冬日,2024年08月26日 12:07  来自 iPhone客户端,成 限电 夏天又来 ，空调  开 ，  温度  度左右 ，喝碗稀饭还得电风扇吹  🥵,2024,1,-1
44,103,103,1754,26,8,1802,1804,2205,2320,生椰冰淇淋加辣,2024年08月26日 11:32  来自 HUAWEI Mate 60,这个温度限电   想热死 室内空调只让开 度， 走廊 开灯 开空调,2024,1,-1
45,104,104,1755,26,8,1803,1805,2206,2321,和月亮一起走夜路,2024年08月26日 11:12  来自 小曹的iPhone 15 Pro,温度 厕所温度  直接搬到厕所去 算,2024,1,1
46,106,106,1757,26,8,1805,1807,2208,2323,三条命的猫猫,2024年08月26日 10:48  来自 微博网页版,这天热得， 空调开  多小时 还没把温度降下去，怀疑空调坏 ，，,2024,1,-1
47,107,107,1758,26,8,1806,1808,2209,2324,慢半拍的SAM,2024年08月26日 10:40  来自 微博轻享版,好热 俩小时  温度还没降下来 什么破空调,2024,1,-1
48,111,111,1762,26,8,1810,1812,2213,2328,小胡拌胡椒,2024年08月26日 10:07  来自 微博视频号,温度应该  度左右隔壁 温度应该  度  凿壁偷凉 L小胡拌胡椒  视频,2024,1,-1
49,112,112,1763,26,8,1811,1813,2214,2329,kraaaakeen,2024年08月26日 10:07,每个周一 被太阳暴晒两天空调温度打 下去又 能开窗子外加 本 胸闷 症状感觉真 直接晕倒,2024,1,-1
50,113,113,1764,26,8,1812,1814,2215,2330,一君云淡风轻,2024年08月26日 09:59  来自 OPPO Reno9 Pro 5G,请欣赏今 成  空调温度，汗如雨下，桑拿巴湿，坚持到啥时候哦,2024,1,-1
51,114,114,1765,26,8,1813,1815,2216,2331,非常肥肠tbsk,2024年08月26日 09:51  来自 OPPO Find X6 Pro,空调一上班 打开 ，呼呼吹 快两个小时，感觉温度 没怎么降下来，温度一高，似乎心跳 加快,2024,1,-1
52,115,115,1766,26,8,1814,1816,2217,2332,Aurora_0505,2024年08月26日 09:20  来自 iPhone客户端,公司新来 某位领导 深圳调过来 ，一来 让降本，规定 空调 点才能开，下午 点  关，之前每天 几度他还能忍受，别人提前还没到 点 把空调开 他还  别人，现 热得他哈戳戳 ，每天一上班员工 把空调开 他  会 什么  大家私下讨论  他外地人才来搞 清楚重庆状况，重庆夏天,2024,1,-1
53,118,118,1769,26,8,1817,1819,2220,2335,米苏提拉布丁,2024年08月26日 09:06  来自 iPhone客户端,如此高级 大楼， 长期这个温度，天天蒸桑拿 调 调成 度 一样，反正长期 度以上,2024,1,-1
54,120,120,1771,26,8,1819,1821,2223,2338,-Lemon19,2024年08月26日 08:32  来自 iPhone客户端,这  空调开得比生孩子手术室 温度还低,2024,1,-1
55,123,123,1774,25,8,1822,1824,2226,2341,我可能是条假猫,2024年08月25日 19:17  来自 iPhone 15 Pro,开空调，感觉冷飕飕一出门，这温度真 快 热化,2024,1,-1
