,Day,Month,Unnamed: 0,Name,Date,Content,year
0,15,1,0,我是HRD豆爸,2016年01月15日 18:36  来自 天生会转 OPPO N3,感冒 ， 空调 给力，阿姨熬 一碗暖暖 “冰糖雪梨”，感动ing,2016
2,1,2,5,用户5557314247,2016年02月01日 21:28  来自 专业版微博,这 一间 平米 ，阴暗潮湿，杂乱破旧，天花板严重开裂，中央空调管道暴露 外，随时 有掉落 危险 更加令人难以想象  ，住 这间   人，竟 被称为“活  林黛玉” 舞蹈艺术家陈爱莲 生活中 陈爱莲 什么样子？她为什么会住 破旧 堪   ？背后又有哪些 为人知 故事呢？,2016
5,27,2,8,尚府空间设计,2016年02月27日 21:22  来自 小米手机,[ SFD每 专业培训 ] 美食与丰富 知识互动提问，小伙伴们 很积极 感谢HITACHI 立中央空调邀请专业暖通设计师到 们  进行暖通知识 培训 提升大家 专业知识 让 们更好 运用 大家 居室内，让居室更大化 服务大家 💪🎉,2016
6,27,2,9,永康地方生活网,2016年02月27日 13:05  来自 百度浏览器,永康市前仓莲花井村正龙西装旁边站牌前民盖楼房店面出租，店面宽敞，内装修齐全可用来开店或者弄 ，二楼整层出租，有床有空调有厨房有 个厕所  个房间 价格可以面谈电话,2016
7,27,2,10,厚恩灸骨王jgw,2016年02月27日 12:26  来自 微博桌面,何小姐， 岁，广州某物业管理公司主管，长期坐 吹空调，腰寒气过重，致使腰长期酸胀 麻木 撕扯痛，晚上睡觉 能翻身，长期煎熬 到广东省中医院做 半 理疗，内服药，收效甚微   中旬接触灸骨王，隔天使用一次，连续使用 多天，奇迹康复，目前可以自由翻身，看电视时还自由跳舞,2016
8,27,2,12,安东妍品,2016年02月27日 10:36  来自 360安全浏览器,辦公室空調保濕補妝 使用產品 ．深層潤肌爽膚水 ．水光潤肌保濕修護精華液 ．瓷感防晒隔離乳  辦公室受到空調 斷將肌膚水分帶走，可適合使用深層潤肌爽膚水來補充肌膚水分， 可將水光潤肌保濕修護精華液調配瓷感防晒隔離乳來做補水補妝，達到膚色瑩潤光澤保濕Q彈 效果,2016
46,15,11,57,燕海锅哒地盘,2016年11月15日 20:42  来自 微博 weibo.com,标题 韩伟 WT-J 加湿器家用静音卧室 加湿迷 空调空气香薰机店铺 峰科电器专营店价格  . 卖家 峰科电器专营店总量  剩余  优惠券 满 元减 元开始时间  - - 结束时间  - - 拍下链接 O 链接欢迎选购,2016
47,15,11,63,柚子多肉,2016年11月15日 15:28  来自 精灵王のiPhone,穿 毛衣和马丁靴，像个傻逼一样苦苦哀求  同事 开一开空调好吗？穿短袖 同事们一脸冷漠,2016
48,15,11,64,可乐他姐姐叫雪碧,2016年11月15日 15:13  来自 🐰兔兔的iPhone 6,"🏫九 级""主题班会""📙  梦想班会发言时间 请连上 们班自带 歪派a同学 [噢耶] 现 还没什么梦想 但   慢慢会有 !b同学   梦想 坐   吹吹空调 翘翘脚! .d.e x同学  ""  梦想 像老师 一样 做个自由 舞者 游遍全世界.""- 男同学 "" 想得美 老师",2016
49,15,12,66,摩隼灯饰MODGEN,2016年12月15日 22:35  来自 iPhone 6s Plus,只有生活 广东 宝宝才知道什么叫一夜入冬，昨天下午小编 还开 空调呢,2016
50,15,12,67,潮哥张豪骏,2016年12月15日 20:29  来自 皮皮时光机,刚参加工作那会儿， 住 城 舅舅家 舅妈 个十分节俭 人，比如牙膏，她会挤到像纸一样平平整整才会丢掉买新  她时常对  勤俭节约 美德 一天中午， 去她 单位找她一起回去， 见她 空调还没关，正 去关时，她笑 对   “ 用关 ，这大热天，关 下午回来会很热 !”,2016
51,15,12,68,秘密盒子卫生巾,2016年12月15日 16:15  来自 纤薄王者X5Max,盛夏到来， 少人抵 住较高 气温，纷纷打开空调来降温，  家  车内均有空调伺候  然而，长时间吹冷气容易患上“空调病”，医生提醒，市民预防“空调病”，应缩小室内外温差，同时拒绝冷饮，多喝姜母黑糖保健,2016
52,1,2,74,宏属Kitty911,2017年02月01日 05:23  来自 iPhone 6,昨天开始，地铁  “职业乞丐”们开始上班  MM  “穿得 比 们差，而且心宽体胖，脸色红润，四肢健全 这些人有手有脚 好好找份工作做，却偏偏宁愿选择做“乞丐”“乞讨”，居然还有人肯给 ”赚得比  吹空调 白领还 多，真 知道给钱 人 什么心态？,2017
53,29,1,76,不知道名字的芦苇,2017年01月29日 18:10  来自 来自鹿哥的OPPO R7s,天气有点热 竟然到 摄氏度   知道这个夏天会 会很热  过  有空调哈 K微白城市（Winter song）,2017
54,29,1,77,XUNTENG,2017年01月29日 11:50  来自 全网诚信通,加湿器家用静音卧室孕妇空调房雾化器 迷 香薰大容量超声波 O 链接,2017
59,28,2,84,搔成一派,2017年02月28日 23:34  来自 千牛,迷 空调制冷电风扇usb可充电池小型无叶台式学生宿舍 包邮，使用￥迷 空调制冷无叶风扇USB可重电￥抢先预览（长按复制整段文案，打开手机淘宝即可进入活动内容）,2017
77,30,12,110,电商小哥哥,2017年12月30日 20:46  来自 微博 weibo.com,四季抱枕被两用空调被可折叠汽车靠垫被子午休枕头被  四季抱枕被两用空调被可折叠汽车靠垫被子午休枕头被,2017
78,15,1,113,与我私奔丶,2016年01月15日 14:24  来自 微博桌面,感觉   放个空气清新器 有没有什么便宜又能放 桌子上  - - 觉得 快 透 过气,2016
79,15,1,114,悦家湿房镜,2016年01月15日 11:13  来自 专业版微博,通风换气同时，增加室内空气湿度，避免戴隐形眼镜，保证足够 睡眠，加强锻炼身体 O 链接,2016
80,14,1,115,会宁富达农产品官微,2016年01月14日 22:54  来自 iPhone 6s Plus,一天烟雾缭绕，走出  那一刻感觉呼吸 空气  甜   西宁·西郊,2016
81,14,1,116,唯传,2016年01月14日 17:57  来自 微博 weibo.com,外面灰蒙蒙 ，下 点雨，分 清 霾还 雾 拿 台V 试 下  空气，特意等到下班前拍 嘿，可好  雨后 空气  好,2016
82,13,1,119,手帐生活启示录,2016年01月13日 11:56  来自 办公室绿植超话,可以净化空气  大室内植物，值得马起，改 买一盆放桌面 （via gardenreboot）,2016
83,12,1,120,霹雳芭比in日本,2016年01月12日 18:07,最近  问空气净化器，车上 空气净化器，接上usb可以放,2016
84,12,1,121,小倩儿Aai,2016年01月12日 16:42  来自 bshare,乐淘天下 - 欢鑫购物商城  桌面植物盆栽薰衣草/净化空气/紫色薰衣草苗/香草盆栽花卉 O 链接,2016
85,11,1,123,阿po哦,2016年01月11日 19:01  来自 iPhone 6s Plus,插 三朵百合~空气   香香哒~,2016
90,1,2,129,万宁中国,2016年02月01日 16:53  来自 微博 weibo.com,上下班人潮高峰期，冬天 被挤得出汗，身体严重缺水；  空气 流通，整天对 电脑肌肤更 干燥 如何全方位解决肌肤干燥问题？小宁有妙招 上万宁天猫店购买依云矿泉水喷雾，买 ml送 ml 随身携带小瓶， 摆放大瓶，随时随地喷，依云喷雾让  肌肤时刻充满水能量,2016
199,15,11,303,Coco暖心__日本本土花王纸尿裤,2016年11月15日 08:42  来自 iPhone 6 Plus,本贝佳舒keep barrier空间消毒除菌卡 本🇯🇵人人佩戴，净化周边  m范围内 空气老 人👵🏻外出锻炼带 上班族👱🏻挤地铁   带 学生👦🏼上学带 婴幼儿👶🏼放 身边任何地方杀菌消毒防雾霾防过敏 好帮手👏一张可用  ，💰 包u 现货秒发,2016
200,14,11,305,SHARONKYO,2016年11月14日 18:53  来自 🦄🦄iPhone,呆 一天，没空气净化器，喉咙口 负众望地开始疼得没法 话 _( з」∠)_,2016
201,14,11,306,氧嘻嘻官博,2016年11月14日 15:48  来自 微博 weibo.com,搬 新 很开心？刚装修完  很漂亮？但 ， 有没有想过， 做过空气净化服务吗？老板配备 空气净化器吗？如果老板根本 把员工 健康放 考虑范围内，那  应该反思自己 工作选择,2016
202,14,11,307,深圳市龙岗区巨能齐添电子厂,2016年11月14日 14:35  来自 全网诚信通,创意礼品usb迷 空气香薰机 企鹅加湿器 超声波 家用加湿器 O 链接,2016
203,14,11,308,拉带_300PlusClub,2016年11月14日 13:44  来自 华为Ascend手机,给 换个空气净化器滤芯 拆出之前 看 看 觉得还好  以为本来带活性碳   灰色 直到 打开 新 滤芯才知道 它有多脏,2016
204,14,11,309,阿涞_,2016年11月14日 13:42  来自 iPhone 6,女同事 电脑前抱怨 “ 好几天 ，怎么还 来，真烦人？”一同事突然接道 “ 别吓  那时  安全期吗？”“   快递 ”“噢 ”现    空气有些安静  杭州·阿涞文化传媒有限公司,2016
205,14,11,310,1313Attitude,2016年11月14日 12:33  来自 微博 weibo.com,面对冷空气 到来，唯一可以抵御 “武器” 只有羽绒服   羽绒服除 常规 排骨羽绒服，还有超级保暖 面包羽绒服，今 比较流行人人做“大白”~ 城市户外兼备，假如气温- 度↓ 普通保暖内衣+衬衫/毛衣+面包羽绒服 够   热气很足时，脱 外套 很舒服    棒棒哒~ 止看,2016
206,14,11,312,airx空气管家,2016年11月14日 10:55  来自 Android,雾霾来临， 们首先想到  家中 否做好防霾准备，而忽略 每天坐   那 个小时  好奇每天令 头疼  空气质量如何吗？ 想 解所 写字楼 中央空调净化效果如何吗？那 需 一台C 检测仪O 链接 或参与 活动， 台C  领 详情如下↓,2016
207,14,11,314,长安卧龙V,2016年11月14日 09:05  来自 bShare分享,西安空气重污染Ⅲ级预警 %以上机动车将限行   ，西安多时段出现空气质量重度污染，为此，西安市重污染天气应急指挥部 将空气重污染Ⅳ级（蓝色）预警升级为Ⅲ级（黄色）预警，做好各项应急准备，并将适时启动Ⅲ级（黄色）应急响应，进行限行 （分 自 ） O西安空气重污染Ⅲ级预警,2016
208,13,11,315,海淘圣经,2016年11月13日 08:59  来自 Fuubo,Hamilton Bea h 抗过敏紧凑型超静音空气净化器，高性能HEPA级过滤网，能有效去除空气中 灰尘 宠物皮屑 尘螨 花粉 霉菌等过敏原，可捕获 %以上低至 微米 颗粒 非常适合放 卧室   书房等小型房间内 $ .  O 链接更多美亚空气净化器 O 链接,2016
209,13,11,316,海淀文明志愿,2016年11月13日 00:30  来自 iPhone 6,下午，由北京市海淀区精神文明建设委员会 主办，北京市海淀区文明志愿者协会承办 “清洁空气，蓝天行动”一平米小菜园项目培训会议 花园路街道社区服务中心举行 “一户一平米，万户小菜园”  北京·北京邮电大学,2016
210,12,11,317,夕阳再晨,2016年11月12日 23:38  来自 360安全浏览器,下午，由北京市海淀区精神文明建设委员会 主办，北京市海淀区文明志愿者协会承办 “清洁空气，蓝天行动”一平米小菜园项目培训会议 花园路街道社区服务中心举行.一平米小菜园虽“小”，但却提供给大家 交流沟通 平台，自己动手种出营养价值高且安全无污染 蔬菜,2016
211,12,11,319,沭阳县新河镇昌汇园林苗木场,2016年11月12日 18:20  来自 全网诚信通,初恋 多肉植物组合盆栽diy 净化空气吸甲醛 O 链接,2016
212,30,11,321,甜甜圈Linna,2016年11月30日 17:00  来自 甜甜圈的iPhone 6,那啥  大家  下 买 好多零食，当时看到三只松鼠有卖辣条  顺便买 一盒 然后下午  打开辣条发现 面长这样，瞬间空气 凝固 可以听 解释一下吗？,2016
213,30,11,325,山东省能源环境交易网,2016年11月30日 10:55  来自 360安全浏览器,空气污染伤人于无形 已被世卫组织列为一类致癌物-北京市预警中心 北京市空气重污染应急指挥部     发布 “空气重污染蓝色预警”称，受 利扩散条件影响，北京空气质量已达“ 级重度污染”水平，建议公众做好健康防护，减少户外运动等 这  北京今 入冬以来第二次发布空气重污染预警,2016
214,15,12,326,小仙女tracy遇见幸福,2016年12月15日 21:00  来自 皮皮时光机,， 家 ，天天坐电脑前面有没有觉得皮肤比较干燥呢?除 多喝水之外，还可以   放 加湿器哦，这个mini加湿器，既可以调节室内空气 温度，还可以帮 预防疾病呢 !,2016
215,15,12,328,逻辑引擎,2016年12月15日 17:54,健身房 器械  公用 电脑 鼠标 键盘 电话上到处 病毒，包括各种普通感冒病毒 如果 用粘上感冒病毒 手摸鼻揉眼 很容易传染上感冒 所以从今以后 到健身房 但 带毛巾勤洗手，还 带 酒精喷壶和一条毛巾，使用器械之前喷一喷擦一擦  健身房健身仅仅靠安装空气消毒灭菌装置和保持,2016
216,15,12,332,江苏丰收大地,2016年12月15日 14:55  来自 360安全浏览器,现   环境 离 开电脑 ，久坐 对 电脑，眼睛很干涩，如果有一抹绿色映入眼帘，则既能有效吸收电脑辐射，又能很好 调节视力疲劳 近几 来大多数公司几乎每间  会放置一些防辐射 净化空气 花卉绿植，如 桌小盆栽 萌萌 多肉植物等，花花草草已经成为  重 组成部分,2016
217,15,12,333,徐圆媛,2016年12月15日 14:24  来自 分享按钮,「原价￥ . ，券后￥ . 」领券购买地址>>O 链接中联迷 usb空气加湿器，创意宿舍 卧室家用，静音车载加湿器,2016
218,31,12,336,李宝玖,2016年12月31日 00:26  来自 iPhone 7,空气这么糟糕， 知道领导 有没有配备空气净化器，揪心,2016
219,30,12,337,逍遥小妖,2016年12月30日 18:20  来自 Android客户端,北京几乎所有 公共场所包括  商场 电影院 地铁 室内空气 污染严重 时候  比室外低个二三十左右，  很懂那些进屋 摘口罩,2016
220,30,12,338,中农富通官微,2016年12月30日 18:20  来自 360安全浏览器,改善室内空气 有妙招 人类平均每天 室内活动和休息 时间超过 小时，大部分人 一天   卧室和 之间度过，然而 们 室内空气却难以让人放心 工业废气，汽车尾气大量排放；装修用料中 苯，甲苯，甲醛等有害物质明显超标，室内空气污染已经成为损害万千家庭健康 隐形杀手,2016
221,15,1,339,戴俊杰882012,2018年01月15日 21:24  来自 手机淘宝,剁手  买 宝贝（小熊加湿器家用静音卧室大容量 空调空气净化小型迷 香薰机），快来和 一起瓜分红包 O 链接,2018
222,30,1,340,剁手萌主,2018年01月30日 21:50  来自 分享按钮,`五个小习惯让 做水润女人 现 大多数白领每天生活 开 空调   ， 仅干燥缺水，时间久 还容易长小细纹， 更 用 体内缺水所引起 各种小毛病   们应该 平  养成这些保湿 好习惯，做个水润女人,2018
223,30,1,341,zzz_朱,2018年01月30日 20:00  来自 OPPO智能手机,家 有多冷呢？橄榄油冻上 ，洗粉扑液冻上 ，太阳能冻上 每天下班从 带杯热水回来喝，烧水洗头一壶 够，洗头晾 站 空调风口十五分钟等烧第二壶，去朋友家洗澡一周 ，mmp,2018
224,30,1,342,柠萌大大胜者为王,2018年01月30日 18:10  来自 iPhone客户端,发现 开中央空调 好处   用怕弄脏外套内搭还  戴护袖  买 好多 喜欢鹅黄色这个 ♡,2018
225,28,2,343,伊然飘翎zz,2018年02月28日 19:24  来自 许魏洲FanClub,好热，   受 空调玩手机， 一女同事走过 “ 好闲  ”   假思索 “ 尝过？”,2018
349,28,2,506,焦雨溪,2018年02月28日 00:38  来自 前置双摄vivo X9,进高三生 大楼，没有再走进 ，而  门口 窗户上扒窗户看 一会儿，没想到看 一会儿真 上瘾  突然 明白 为什么那么多老师主任校长痴迷于这个位置，从后窗看过去  个肥瘦 均 脑壳，真像一株株无法确定价值 珍稀植物幼苗，赔本和翻本  压 一百天后 那次高考 代入角色后,2018
560,15,2,778,猫小憩,2019年02月15日 21:52  来自 iPhone客户端,隆重系列图 ，刚来 时候总  学校附近 市场上买现成 饭菜，摆 桌上有点小温馨 图 ， 清迈和刘老师黄老师吃 一顿重庆火锅， 知道算 算正宗，但 异国他乡忽然尝到 中国味道足够让人毕生难忘  图 ，黄老师来做客啦，想把村 所有好吃  买回来款待，那天 们还煮 珍藏 螺蛳粉，开,2019
561,15,2,779,像路飞一样要成为海贼王,2019年02月15日 20:19  来自 前置双摄vivo X9,抱怨苏州下雨 ，被罩晒 干好办 ，给 支个招，拿到 空调下面吹，   这么干得 苏州·阳澄湖,2019
562,15,2,780,鸟儿一归回,2019年02月15日 20:11  来自 vivo X20全面屏手机,工作第一天有点 适应 最重   太冷  坐 冻脚  空调 起作用 最重   想  却 敢打扰,2019
563,15,2,781,优秀的小洪同学,2019年02月15日 20:11  来自 iPhone客户端,还好 备 拖鞋，还好开空调 ， 这名字真 一点用 没有,2019
564,15,2,782,蔸莨,2019年02月15日 20:10  来自 荣耀8 美得与众不同,还好还没到夏天，  然像 这样天天晚上加班 别人还以为  来 蹭空调,2019
565,15,2,783,忽晴忽宇,2019年02月15日 19:07  来自 HUAWEI Mate 20 Pro,和  一起住 四  朝夕相处 姑娘结婚 一起上课 逃课 吃饭 逛街  子好像  昨天 们 彼此少女心事 倾听者， 彼此 树洞 所有 知道怎么 和谁  事情 她   最好 陪伴者倾听者 她知道 暗恋 人很多 ，却没有结果； 见过她 前男友还有追她  靠谱学长和她一起 同一条路上，半,2019
566,15,2,788,中捷视点,2019年02月15日 17:35  来自 360安全浏览器,关于发布重污染天气橙色预警启动二级应急响应 通知根据省环境应急与重污染天气预警中心 中国环境监测总站 省环境气象中心联合会商，预计    起，近地面受偏南气流影响，温度回升，湿度增大，扩散条件持续转差，污染物积累，园区将出现空气重度污染过程 为减轻重污染过程，保障人民群众,2019
567,15,2,789,噗气Q2020要努力,2019年02月15日 16:39  来自 iPhone客户端,四个灯坏 俩，空调开到 度还 冷得直哆嗦，第一天去上班，三点多 坐 住 ，回来家 空调电热毯闷头睡一觉，起来继续磨  基金本本,2019
