,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Date,Content,Env_prlbm,Sent_lvl
0,1,1,2,15,泉水农夫,2013年01月15日 15:42  来自 360安全浏览器,到外边去溜达 一圈，空气质量真 怎么样，灰蒙蒙 一片，可 回到 发现自己 鼻子有点 舒服 ，罢 吧 ， 试 用卫生纸去擦拭，结果纸上一层黑色脏东西，可恶心 ， 明空气真 有点 怎么好，大家没什么大事 还 尽量  出去吧，  ，；‘祝大家幸福快乐，健康长寿，,1,-1
1,6,6,7,31,智天下顾问项目管理部,2013年02月28日 18:52  来自 皮皮时光机,内外温差大，室内空气质量差，容易诱发咽喉炎 白领们大部分 装有中央空调 写字楼内  由于中央空调控温较难——夏天室内温度过低，冬天又过高，室内外温差很大，再加上中央空调清洗困难，影响 室内 空气质量，这些 极易诱发白领们诸如咽喉炎之类 口咽疾病,1,-1
2,7,7,8,32,央嘉措,2013年02月28日 17:57  来自 记事狗微博系统,关爱员工健康，特别推出“呼吸福利”， 台空气净化器已运抵  谢谢 O 链接,1,1
3,11,11,15,42,奥驰展览,2013年03月15日 14:32  来自 专业版微博,又 一 春三 ，广州进入梅雨季节 潮湿，空气 流通，久居 容易细菌滋生，影响同事健康 如果每天下班后全公司 分钟紫外线照射消毒，杀菌，并且坚持 懈，那么 们  环境会多一些健康，多一些阳光，多一些安全     奥驰展览沐浴阳光,1,-1
4,12,12,16,44,金盛国际家居六合广场,2013年03月15日 13:04  来自 微博桌面,若干化学品 引起眼睛过敏 致敏原──除 工业用 化学品，一些由家居清洁剂（如漂白水及洗洁精）所散发出来 气味， 可能导致敏感 眼睛泛红及搔痒 适 可能 话， 家中或 使用此类化学品时，一定 保持室内 空气流通,1,-1
5,19,19,25,76,升发英才网,2013年03月29日 14:38  来自 皮皮时光机,长时间吹空调 长时间呆 密闭 开 空调   ，空气 流通，难得吸到一丝新鲜 空气，这样很容易患上 “空调病”,1,-1
6,26,26,32,98,SAN森木,2013年04月30日 09:30  来自 诺基亚N8,空气[囧]真他妈恶劣,1,-1
7,31,31,38,115,友华冷气,2013年05月15日 14:56  来自 专业版微博,一族  恒温密闭 空气质量 好 环境中，容易导致头晕，胸闷，乏力，情绪起伏大等 适症状，影响工作效率，引发各种疾病，严重者还可致癌 {大金空气清洁器}利用流光能装置强力分解和祛除过滤网捕捉到 气味和霉菌；迅速 强力地吸附室内灰尘，清除有害气体，使清新空气吹遍室内,1,-1
8,33,33,40,119,重庆10里原麓,2013年05月15日 10:30  来自 皮皮时光机,据 解，城市房间  负氧离子浓度 每立方厘米 个，楼宇   浓度甚至低到每立方厘米 ~ 个 这些空气往往容易头痛失眠等 适 很多 市白领工作一天之后感到头昏脑胀， 和空气 够“营养”有一定关系   原麓负氧离子含量达到每立方厘米约 万个， 解放碑  倍,1,-1
9,36,36,46,183,湖南福斯特办公设计,2013年08月31日 11:07  来自 专业版微博,常使用过程中会产生良多 空气污染物，先  当中 传真机，打印机等等， 使用过程中会产生大量 含铅量很高 粉尘，这些会伤害 到人 呼吸系统 所以 装修 时候，可以预留一些放植物 位置，甚至 使用特殊  桌，  桌上面留下放植物 位置 既净化 空气，还美化 环境,1,-1
10,43,43,55,215,健康心理跟我学,2013年09月13日 11:02  来自 新浪视频手机客户端,停 咳，又 像 感冒 症状，去医院检查 一下，医生  上呼吸道感染，可能 因为 空气太污浊，病毒太多导致 ，建议改善  空气  怎么改善 ，那间 本来 窗子打 开，人又多， 鼻子闻 能闻到病毒 味道 老板 ，求空气净化器，求健康呼吸,1,-1
11,46,46,58,225,5千克,2013年09月12日 20:35  来自 5千克,桌面臭氧空气净化器这款桌面空气净化器可以净化空气，防止病菌与细菌 滋长，防止病毒扩散，消除家中 异味，对  会议室 洗手间 营业场所等进行有效 消毒，抑制 病毒 传播 其中包括 个新鲜 空气净化器清洁器， 个AC适配器， 本用户手册 ->O 链接,1,1
12,49,49,62,240,小池a-pond,2013年09月11日 16:27  来自 微博 weibo.com,下午一上班，  没 电，空气开关跳闸  小汪师傅查来查去，   桌旁边 地插进水   明白  ，这个 房间中部 地插 怎么会有水呢？,1,-1
13,62,62,76,278,食土少喵吃吧桑,2013年10月15日 15:13  来自 iPhone客户端,楼看到 景色还 很 错 〜     空气太糟糕 点       虹漕南路,1,-1
14,67,67,82,297,恩三公益,2013年10月31日 21:30  来自 皮皮时光机,盆栽中植物和土壤中 细菌可以减少   挥发性有机物，有助于分解空气中 有毒物质，因此   放盆栽植物除 可以减少二氧化碳释放氧气外，还可以减轻人 压力，改善疲劳 喉咙干燥 皮肤干燥 头痛 咳嗽等上火症状,1,1
15,69,69,84,302,SONOKO荘能子,2013年10月31日 15:06  来自 时光机,空气干燥，一天下来皮肤水分流失，各种出油 敏感 脱皮 肌肤问题层出 穷，放加湿器  顶用  这时候身体乳 选择  显得尤为重 ，S家 沁白润肤露，蕴含皇牌保湿成分神经酰胺和极致滋润成分澳洲坚果油，清爽 厚重，于自然馨香中，让肌肤奢 全天候SPA,1,-1
16,71,71,86,309,艾力波登服饰,2013年10月31日 10:00  来自 微博 weibo.com,天天开 空气净化器，外面持续严重雾霾，还能呼吸吗？ 那边 空气好吗？,1,-1
17,76,76,93,329,U脾气_莓烦恼,2013年10月29日 22:51  来自 微博 weibo.com,这样一直等下去·听到饮水机 烧水声烧 又停，停 又烧，连  空气 凝聚 一起 .,1,-1
18,77,77,95,332,氧肤堂酵素祛斑祛痘国际连锁,2013年10月29日 15:58  来自 vivo_X5Max,秋冬季节来临，天气转凉，寒风吹起，  窗户 很少打开，那么新鲜空气很难进入，室内 病菌等消除  ， 很容易生病哦，百合 吊兰等可以吸收有害物质； 季 仙人掌等有清洁室内空气 作用，即使有 花，  适当多通风，这样才会花香四溢，还 容易生病哦 氧肤堂，汕头专业酵素祛斑祛痘,1,-1
19,83,83,102,363,Blueair-江苏,2013年12月13日 15:45  来自 微博 weibo.com,Blueair 专为 平方米左右 别墅以及 等较大 空间设计，净化效果十分出众 产品特别设置 轮脚，移动更轻松 市场零售价为RMB    采用SurroundAir™（环绕空气）过滤技术，可将污浊空气从机器两侧和底部吸进来，并从两侧和顶部将过滤过 清洁空气送出,1,1
20,85,85,104,366,中美环艺,2013年12月13日 10:43  来自 搜狗高速浏览器,早上到公司还   让 们闻太多 香薰 味道，薰   晕晕呼呼 ，现 开始头疼   一定 保持 内空气 清新,1,-1
21,89,89,108,373,BEAVER博柔专业美发,2013年12月12日 13:30  来自 皮皮时光机,空气太过干燥，即便给头发补水 会很快流失，因此，提高空气湿度  解决秀发静电问题 有效方法  们可以  和家 养一些绿色植物，用以提高空气湿度，净化空气 如果长期呆 空调房中，还需 使用加湿器来增加室内湿度 这样由内补充头发水分，由外提高空气湿度，静电烦恼自然会远离 们,1,1
