,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Date,Content,Env_prlbm,Sent_lvl
0,1,1,18,歐詩木中國Osmo,2016年02月26日 18:01  来自 专业版微博,位于圣地牙哥 一幢获奖 UC Innovation Centre，其中庭 主干部份涂刷  遍欧诗木硬质蜡油(  ，透明半哑光) 获得Pritzker建筑奖 建筑师Alejandro Aravena，利用 密封 外围与开敞 中庭作对比，中庭能够提供阳光和良好 通风，并使各 之间形成互动,1,1
1,8,8,42,Shall_Bye_Bye,2016年03月07日 17:04  来自 微博 weibo.com,支付宝新大楼没用多久 进去工作 那批人多多少少   前几 查出 问题，真心劝每一位想 活得更久 人，如果进新 或者新家，请一定 注意通风以及空气净化 真,1,-1
2,15,15,54,培训师王正华,2016年04月08日 19:47  来自 微博 weibo.com,[闷] 审核用 会议室三面围墙，另一面 玻璃围墙，双层，加厚，没有空调，很闷，询问为啥玻璃围墙做得那么密 透风，而且没有窗户可以通风换气，企业  此会议室毗邻上级集团高层领导 ，怕会议室开会太吵影响领导 ，设计人员 索性给它用双层厚玻璃密封起来，所以， 会议室进行审核闷死,1,-1
3,16,16,66,天津城建大学校红十字会,2016年03月31日 17:57  来自 微博 weibo.com,五种帮助 保持室内空气清洁 植物 上世纪  代，因为越来越多 人集中 通风 畅  内工作，他们开始注意到 令人担忧 趋势 人们经常咳嗽，头疼甚至感到呼吸困难 然而当他们下班以后，这些症状. O五种帮助 保持室内空气清洁 植物,1,-1
4,26,26,96,信高实验室设备,2016年06月29日 13:35  来自 专业版微博,夏季实验室暖气 通风 空调系统设计原则通用实验室 夏季空气调节室内计算参数为 温度 ～ ℃，相对湿度小于 % 空调系统 主 作用 控制实验室 温湿度 空调系统与实验室通风系统配合，才能真正有效地保证实验室 温湿度和房间压力 有效控制 实验室对空调系统  求，有别于普通 或,1,1
5,27,27,97,Elsie_水瓶,2016年06月27日 18:05  来自 iPhone 6s,这种天气  们 为 通风已经 星期没开过空调 还没有电扇       快超神 ？,1,-1
6,28,28,98,不辣的脱口秀,2016年06月27日 09:37  来自 Weico.Android,空气之差，养什么植物 无法存活， 觉得  差 多  马上 搬新 没通风一旦装好 直接拉过去  觉得 寿命将近,1,-1
7,29,29,111,Vclean品牌,2016年07月08日 11:48  来自 360安全浏览器,O 链接新装修 有味道  甲醛超标 吗？新房需 通风多久才能入住？放洋葱 柚子皮 植物 活性炭等能除甲醛？室内车内除甲醛如何才能快速见效？用车净宝空气净化 怎么选择才 健康可靠 呢？用VCLEAN 家具除甲醛消毒怎样才最快,1,-1
8,33,33,143,肖远林地盘,2016年09月11日 12:58  来自 iPad mini4,无论 还 家 ，只 通风 好 会有些许气味， 仅导致工作效率低， 家休息 成问题 安利优生活®浓缩空气清新剂特有 AMWAY NEUTRALODOR®净化成分，有效去除各种难闻气味，浓缩配方，只需轻轻一按，令 重归清新天地  淡雅大自然田园幽香，清新怡人  成 ·温江,1,-1
9,34,34,145,夏日心情_888,2016年09月09日 11:33  来自 小米Note,无论 还 家 ，只 通风 好 会有些许气味， 仅导致工作效率低， 家休息 成问题 安利优生活®浓缩空气清新剂特有 AMWAY NEUTRALODOR®净化成分，有效去除各种难闻气味，浓缩配方，只需轻轻一按，令 重归清新天地  淡雅大自然田园幽香，清新怡人,1,-1
10,36,36,152,罗社长呐,2016年09月03日 22:03  来自 iPhone 6s Plus,院子  植物顺 通风口爬到    希望能全部铺满整个房顶,1,1
11,37,37,155,樱花季抹茶戚风蛋糕,2016年09月30日 15:33  来自 Weico.Android,通风  感觉发烧  快点下班,1,-1
12,38,38,156,四方上下-往来古今,2016年09月30日 08:05  来自 荣耀手机 勇敢做自己,昨天下午 开窗通风，看见窗外一对老夫妇 捡掉地上 白果，瞬间一股恶臭扑面而来，赶紧闭气关窗 今早发现，东门外面 树上 开始往地上掉  注意 ，白果过量食用有毒,1,-1
13,39,39,157,蚓福生物,2016年09月27日 11:50  来自 微博 weibo.com,很 健康 环境，很多 通风条件很 好，空气污浊 必然  电磁污染  得 ，小小 空间十几台电脑 再加上 族运动少，所以，坐  人排毒 显得非常重   排毒有很多办法， 简单  如何喝茶 看看怎样喝茶才能有效 排毒,1,-1
14,41,41,175,McGill119,2016年10月31日 17:11  来自 iPhone 6,同事抽烟，每天中午大家   歇晌儿时，他 越抽，可能 饭后一支烟，赛过活神仙吧  密闭 环境中，让人苦 堪言  好意思直 ，于 多次想 打开门窗通风，却又怕遭嫌，毕竟现 天儿冷 ——但最多 ， 怕面子上过 去 想想真 为难，世道  这般微妙，明明 没错，却畏手畏脚，去怕那个做,1,-1
15,43,43,182,青岛市胶州中心医院V,2016年10月20日 16:50  来自 微博 weibo.com,传染性非典型性肺炎传染性非典型性肺炎（简称“非典”） 病毒引起 严重急性呼吸道症候群 主 通过近距离空气传播，直接接触病人 痰液 唾液 鼻涕 会被感染 “非典” 症状先 发热（ . ℃以上），同时伴有寒战 头痛 头晕 全身酸痛 没力气 拉肚子等表现 少数病人有咳嗽 痰少，并伴有,1,-1
16,44,44,183,朗风官微,2016年10月19日 17:14  来自 360安全浏览器,O警惕 雾霾虽可怕，但室内空气污染更 命  市 白领们  工作时长至少 小时，有时甚至比家 还久？经常会感觉“头昏脑胀” “注意力 集中” “工作效率低下”？ 这些症状并 单纯 只 生活 工作上 压力造成 ，室内空气污染或许才 罪魁祸首 光 简单 开窗通风可 一定管用，选择一台专业,1,-1
17,45,45,190,龙湖Longfor,2016年11月12日 17:35  来自 iPhone 6,否  通风 空间太小 密闭感强烈  桌逼格太低？距一展空间开业倒计时 天,1,-1
18,46,46,192,Epiroc中国,2016年11月09日 21:10  来自 专业版微博,常生活中， 们可以自由呼吸，  商场和电影院等场所 通风条件 非常好，所以 们从未特别思考过如果空气稀少该如何应对 而 地下，通风非常关键 L阿特拉斯·科普柯通风系统,1,1
19,51,51,224,运气爆棚,2016年12月22日 15:32  来自 酷分享助手,开窗通风，这 净化空气最好 方式  应保证每天开窗换气 少于两次，每次 少于 分钟 打印机 复印机 传真机等设备最好放 走道 独立房间或者其他一些通风好 地方，别放  桌上,1,1
20,54,54,239,氧嘻嘻官博,2017年01月10日 16:05  来自 微博 weibo.com,通过科学 空气质量检测可以 解居室和  否符合相关标准，从而规避环境污染 风险 当然，科学 空气质量检测必须 有专业技术和相应资质 公司来进行 一 般来 通过源头控制 过滤 通风来稀释污染物 提高室内空气质量 主 方法  可以通过定期清理过滤网和地毯来进一步提高室内空气质量 当,1,0
21,59,59,258,古月自在乾坤,2017年02月26日 18:08  来自 iPhone 6 Plus,有些公司 装修很有个性， 做吊顶，最多刷一层灰色或者黑色，建筑原有 梁 柱通风管道和消防管道 看得清清楚楚 如果 餐厅 展览馆 商场等公共空间倒还好，如果 长期坐人  ，而且正好 座位 上方有横梁 粗大 消防水管， 一定健康状况频出，工作压力大，情绪经常失控，睡眠 好，而且,1,-1
22,70,70,299,二木的花园,2017年06月03日 14:20  来自 专业版微博,西朝落地窗还蛮适合养玉露 ，每天 照时间 小时左右，通风良好~当初从花园拿 些小小 过来， 受慢慢养大 过程,1,1
23,72,72,303,黑黑黑黑黑黑老师,2017年06月28日 08:18  来自 吴青峰送的vivo Xplay5旗舰版,已婚直男平时身上体味大点 大点，这没什么，开窗通风 好 可加上俩 “坐 子” 已婚已育妇女，大夏天空调 开，窗户关上 那他妈 气味简直呜呼哀哉,1,1
24,73,73,304,亨利3世,2017年06月28日 06:41  来自 iPhone 7 Plus,辦公室有個小房間 通往他們活動 地方， 故意 關上門，看他們 喜歡待 外面，還 躲到小房間裡，拍照為證幾次 做 到，只 有動靜馬上從小房間裡衝出來， 沒有開空調 情況下，裡面絕對比通風良好 外面涼快，他們卻選屋子裏，可惜他們 會說話，無法告訴 們原因早上好,1,-1
25,74,74,310,东511111,2017年07月14日 15:20  来自 华为手机,只从通风管道掉下来 小可爱，整个 炸 ，一屋子铲屎官 北京·中国电影导演中心(酒仙桥北路店),1,-1
26,75,75,312,娜蜜丝女神学院,2017年07月11日 17:28  来自 360安全浏览器,变老TOP ——长期待 空调电脑房 变老原理 空调房干燥  通风透气 环境会造成皮肤水分 足，胶原蛋白流失 而 们长期待 空调房 一定还会有电脑，电磁波会直接对 们 面部皮肤造成伤害，可以破坏皮肤中 胶原纤维，加速肌肤老化 常常使用电脑 童鞋 会有干皮更干，油皮更油 体会,1,-1
27,76,76,313,焦糖玛奇朵Lion,2017年07月07日 08:38  来自 杨洋超话,度， 通风，没空调，顶层还 阳面  ，简直想死,1,-1
28,82,82,357,中国质量万里行SC,2017年08月01日 15:23  来自 微博 weibo.com,空调房 仍需 防流感病毒 夏季气温较高，空调屋内低温 干燥  通风，非常适宜流感病毒 生长与扩散，  教室 病房等公共场所存 较大流感疫情聚集性发生 风险，公众需格外注意 提防流感病毒O 链接,1,-1
29,87,87,367,空白妙曼,2017年08月28日 19:48  来自 OPPO R9,高层建筑火灾逃生 模拟测试， 能得几分? ， 们来一次关于高层建筑火灾逃生 模拟测试，共五道判断题，满分为 分，看看 能拿多少分？题目  当  加班时，听到门外传来“ 火 ，快逃  ” 声音， 应该立即打开 门冲出逃生 ￼答案 ✔,1,1
30,94,94,390,怡伊草,2017年08月17日 15:50  来自 搜狗高速浏览器,，紧张 工作节奏会影响情绪，长时间盯 电脑会产生昏沉 眼睛干涩 症状，待 一整天通风 良   ，有时会有头昏 头痛  适状况，如果 人多 话，更容易被传染感冒等呼吸系统 疾病 那么，适合  使用 精油有哪些呢？   使用精油缓解身体 适如果感觉,1,-1
31,99,99,424,河北华安科技官博,2017年09月04日 15:44  来自 专业版微博,华安科技-新风系统新装修时代，告别人肉净化器，家装怎能少 新风系统 新装修时代，健康最大 健康，才 一切装修 最基础 健康之中，空气健康为上，因为 们每天 小时，无时 刻 需 呼吸，需 健康鲜活 空气 而最能呵护 们呼吸健康 便 具有强大功能 新风系统 如果,1,1
32,102,102,440,北京平谷中医院,2017年09月22日 09:24  来自 微博 weibo.com,寻根溯源看雾霾 减少室内装修污染 装修房间时，卧室 卫生间 窗台和厨房用石材或者大理石装修装饰 家庭越来越多，石材 面有氡污染，氡 世界卫生组织公布 全球肺癌 第二大因素，仅次于烟草 室内装修污染主 来源于房屋建筑材料 油漆 漆器 胶合板或三合板 新居刚刚装修结束，一定 保持勤,1,-1
33,104,104,445,濠江日報社,2017年09月19日 11:07  来自 360安全浏览器,建設發展辦公室主任周惠民表示，原先 關閘巴士總站通風系統重建及環境改善計劃因颱風“天鴿”而有必 重新設計，建設辦會爭取 車站修復過程中儘快完成改善工程方案 具體設計以及審批工作，現階段未有具體工程預算 詳情 O 链接,1,-1
34,105,105,446,依医,2017年09月18日 18:00  来自 微博 weibo.com,“健康杀手”一 空气污染如今 写字楼虽然越建越高档，但 窗户开口却 约而同地越变越小 一些公司租用  往往位于写字楼 某 方向或一角，本身通风条件 有限，小窗户根本 能顺利实现空气流通  场所 通风造成 直接后果 局域空气污染，新鲜空气进 来，污浊空气甚至有毒,1,-1
