,Day,Month,Unnamed: 0,Name,Date,Content,year
1,16,9,3,YouTube易烊千玺频道,09月16日 20:28  来自 易烊千玺超话,易烊千玺垒石十五分钟纯   LYouTube易烊千玺频道  视频,2023
3,16,9,6,TFBOYS-易烊千玺,09月16日 20:01  来自 微博直播平台,TFBOYS-易烊千玺  直播,2023
4,16,9,7,张星特闭麦吗,09月16日 20:16  来自 微博视频号,这支纪录片发布后属于 . .  记忆 会被永远封存  们 记忆 感谢 们愿意陪 一起参与这场浪漫逃离“爱能抵万难 您已逃离尼莫点” L张星特闭麦吗  视频,2023
10,16,9,14,苏醒AllenSu,09月16日 20:31  来自 iPhone 16 Pro,又来 🎫 感觉得换点新歌 🎙️🎵,2023
17,16,9,22,苏勋伦,09月16日 20:00  来自 微博视频号,📹🫡 L苏勋伦  视频,2023
19,15,7,24,艾艾艾艾艾菁,2016年07月15日 22:28  来自 iPhone 5s,这两天脸上蹦出来五六七八个痘痘，大概  空调开太足 ，火憋住 ，再加上皮肤干燥 多喝热水,2016
20,15,7,26,UPTOWNHOLIC,2016年07月15日 20:52  来自 微博 weibo.com,약도 없는 냉방병에 셔츠가 딱!!穿上衬衫再  怕  冷空调[拍照][拍照] uptownholi  更多单品 O 链接 UPTOWNHOLIC,2016
21,15,7,27,文怡,2016年07月15日 17:49  来自 赌约临近了iPhone,前几天北京热  死，戴条项链儿  嫌热 这几天温度下来 ，  小胖子们还开 空调，作为 瘦下来 先锋， 天天 屋儿 裹成这样,2016
22,15,7,28,不爱穿_bra的妖精,2016年07月15日 17:00  来自 iPhone 6s Plus,阴天 空调开 太足，冷周五嘛想约会但 又累，想吃饭又怕胖看看 子，快生  嘿嘿， 爷们该遭罪 ，过山车得坐     北京·华贸购物中心东区,2016
23,15,7,29,花田时光薄,2016年07月15日 15:54  来自 红米Note 3,生活 幸福  吃 饱，睡 好天气虽热，但   有空调有风扇 蛮好  周末来啦～,2016
24,15,7,30,虎航_Tigerair,2016年07月15日 14:32  来自 微博 weibo.com,炎炎夏 之中，看 这些水上运动   让身处    感到清凉呢摆脱空调房，与大海来一场亲密邂逅吧 图via网络O 链接,2016
25,15,7,31,Vincent--boy,2016年07月15日 14:20  来自 微博视频号,新   人喝茶 空调吹 好冷 喝口热茶暖暖身体 O 链接 L秒拍视频 .,2016
26,15,7,32,辣妈省钱快报,2016年07月15日 13:09  来自 辣妈省钱快报,空调毯  午睡珊瑚绒毯子，券后 . 元起 O 链接 领券减 元O 链接,2016
27,15,7,33,saadhu,2016年07月15日 11:32  来自 vivo X5Pro,空调坏  又饿又累又热又晕，肚子还痛，还得赶稿子写东西，脑袋一晃 一阵晕眩 ，看来这 真晕 这 子过 太销魂,2016
28,15,7,34,三宝,2016年07月15日 11:29  来自 iPhone,每次有送 用品送水搬运 工人到 来， 会热情 请他们进来吹吹空调喝杯开水  这个工人师傅送完货 站 门外， 请他进来，他  进来 ，一身臭汗，别把 们 弄脏  认真再请他才悻悻进门，笑呵呵  ” 们这 干部这么客气 ” 长沙现 室外温度 ，端坐    认真工作吧,2016
29,15,7,35,瑞安市涵宇家纺厂,2016年07月15日 10:51  来自 微博 weibo.com,棉麻抱枕被子两用抱枕靠垫被多功能汽车沙发 午睡空调被LOGO,2016
30,15,8,36,SLEASE闪租,2016年08月15日 22:43  来自 微博 weibo.com,被 事件刷屏最近娱乐事件发酵 厉害 八卦 多 起来长期 室内待 ，空气太闷想离开空调房出去呼吸新鲜空气 许 还缺一台夏普 想租戳O 链接 租只  元/ 哦,2016
31,15,8,37,无所的畏惧者,2016年08月15日 22:12  来自 贝贝微助手,颈椎 分钟保健操 端坐，全身 动，单头部运动，分别做低头 抬头 左转 右转 前伸 后缩；顺 逆时针环绕动作 每次坚持 分钟，动作 轻缓 柔和 注意 有空调  内，稍冷时  披上外套保护颈背,2016
32,15,8,38,随便打假,2016年08月15日 21:56  来自 360安全浏览器,悄悄爱法莱绒毛毯夏季空调毯毛巾被法兰绒毛毯子 午休盖毯￥ . 券O 链接拍O 链接,2016
