,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Date,Content,Env_prlbm,Sent_lvl
0,2,2,5,用户5557314247,2016年02月01日 21:28  来自 专业版微博,这 一间 平米 ，阴暗潮湿，杂乱破旧，天花板严重开裂，中央空调管道暴露 外，随时 有掉落 危险 更加令人难以想象  ，住 这间   人，竟 被称为“活  林黛玉” 舞蹈艺术家陈爱莲 生活中 陈爱莲 什么样子？她为什么会住 破旧 堪   ？背后又有哪些 为人知 故事呢？,1,-1
1,14,14,18,时尚阿里老王,2016年04月30日 15:48  来自 华为Ascend Mate7,向大热天装空调 师傅致敬，这活可 好干，  一般人能干   ，坐  上班 好好珍惜把,1,1
2,16,16,20,喝冰可乐长大的小仙女,2016年04月29日 11:21  来自 华为Ascend手机,和室外 温差  - ℃，室外穿短裙，室内穿 夏天空调什么  用担心,1,-1
3,19,19,24,艾艾艾艾艾菁,2016年07月15日 22:28  来自 iPhone 5s,这两天脸上蹦出来五六七八个痘痘，大概  空调开太足 ，火憋住 ，再加上皮肤干燥 多喝热水,1,-1
4,27,27,33,saadhu,2016年07月15日 11:32  来自 vivo X5Pro,空调坏  又饿又累又热又晕，肚子还痛，还得赶稿子写东西，脑袋一晃 一阵晕眩 ，看来这 真晕 这 子过 太销魂,1,-1
5,33,33,39,果糖朵儿,2016年08月15日 21:21  来自 iPhone 6s Plus,赶脚最近身体差得很，家 开空调温度降到 ℃ 时候，吹一阵 感觉冷   ， 穿一件T-shirt，加一件防晒衫，还 套一件工作服（卫衣），还 披一条珊瑚绒小毛毯， 穿 裙子，把毛毯裹腿上还 冷，如果大家 笑话 ，真心想带件羽绒服放公司~关键大家 穿短袖， 心 真 有好多个问号，他们真,1,-1
6,40,40,51,宋茜的后背_机器猫甜甜,2016年10月15日 19:46  来自 哆啦茜iPhone 5s,开 空调   能被蚊子亲 一口；手指缝被纸割 一下；胃吃 药还难受感觉今晚 顺,1,-1
7,47,47,63,柚子多肉,2016年11月15日 15:28  来自 精灵王のiPhone,穿 毛衣和马丁靴，像个傻逼一样苦苦哀求  同事 开一开空调好吗？穿短袖 同事们一脸冷漠,1,-1
8,51,51,68,秘密盒子卫生巾,2016年12月15日 16:15  来自 纤薄王者X5Max,盛夏到来， 少人抵 住较高 气温，纷纷打开空调来降温，  家  车内均有空调伺候  然而，长时间吹冷气容易患上“空调病”，医生提醒，市民预防“空调病”，应缩小室内外温差，同时拒绝冷饮，多喝姜母黑糖保健,1,1
9,53,53,76,不知道名字的芦苇,2017年01月29日 18:10  来自 来自鹿哥的OPPO R7s,天气有点热 竟然到 摄氏度   知道这个夏天会 会很热  过  有空调哈 K微白城市（Winter song）,1,-1
10,55,55,80,爱活网,2017年03月01日 16:38  来自 iPhone 6s,有什么场合适合使用松下Master中央空调，相信很多想到  别墅  ，但松下告诉 宠物托护中心   很适合 地方，好好做 铲屎官.,1,1
11,56,56,81,Candy陈小莹莹,2017年03月01日 15:52  来自 iPhone 6s Plus,上海热吧 真 很热  这群外教给 开个 度 空调 真 想死 心 有  立马关掉另外一台,1,-1
12,60,60,85,仟梵依家纺,2017年03月15日 20:28  来自 全网诚信通,仟梵依抱枕被子两用靠垫 汽车棉麻腰枕  午睡空调被来图定制 O 链接,1,1
13,61,61,86,抢抢网,2017年03月30日 16:44  来自 微博 weibo.com,抱枕被子两用 靠枕床头抱枕空调被 券后 . 元券 O 链接拍 O 链接,1,1
14,68,68,95,在织围脖的PHIL,2017年04月15日 09:50  来自 iPhone 7 Plus,上海中致远凯迪拉克 服务怎么那么差？车子质量 好，大热天 空调坏 ，跑来维修，等 半小时居然 没人招呼 ，车间     抽烟， 知道室内禁烟？客服经理居然还让人插队 以后再  买凯迪拉克,1,-1
15,71,71,98,香芋蛋筒_coNe,2017年04月30日 17:34  来自 iPhone 6 Plus,有蚊子，空调开那么冷还有蚊子😢贴 个驱蚊贴， 现  被熏昏过去,1,-1
